seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,additional_height,notes,date
3087,5,2.98,9,,0,fixed data from sheet,02/03/2022
3594,7.5,4.31,5,,0,,02/03/2022
3620,11.7,4.32,4,,0,,02/03/2022
3140,3.4,3.47,4,,0,,02/03/2022
3824,4.8,2.23,,3,1.5,,02/02/2022
4134,20.9,5.72,12,,0,,02/02/2022
3695,10.5,6.35,8,,6,,02/02/2022
3714,12.1,4.5,9,,0,,02/02/2022
3798,5.9,3.02,,4,2.5,,02/03/2022
4278,3.6,3.13,,4,4,,02/03/2022
4318,6.7,3.21,,5,0,,02/03/2022
4405,5,3.58,,4,3.5,,02/03/2022
3605,9.7,4.13,13,,0,,02/03/2022
4037,5.1,4.22,12,,2,,02/03/2022
4415,5.6,3.09,,5,3,,02/03/2022
4328,4.1,2,,2,2.5,,02/03/2022
4407,4.2,2.67,,3,2.5,,02/03/2022
3383,3.4,2.11,,4,0,,02/03/2022
4083,8,6.38,5,,0,,02/03/2022
3110,8.6,4.92,13,,5.5,,02/03/2022
3552,9.6,5.16,16,,1,,02/03/2022
4070,4.5,4.38,5,,0,,02/03/2022
3114,4.9,6.9,8,,0,,02/03/2022
4159,4.1,5.95,2,,0,,02/03/2022
3584,11.3,5.21,11,,0,,02/03/2022
4255,2.9,4.26,,3,1.5,,02/03/2022
4079,14.4,5.63,17,,0,,02/03/2022
4280,6.8,2.86,,4,4,,02/03/2022
4162,7,5.01,10,,0,,02/03/2022
4320,3.9,3.56,,4,4,,02/03/2022
3008,7.5,5.52,11,,0,,02/03/2022
4195,9,4.28,24,,47.5,,02/03/2022
3963,4.5,3.62,0,,0,dead ?,02/03/2022
3696,20.4,5.85,9,,0,,02/03/2022
3876,4,2.4,,3,4,,02/03/2022
3586,23.3,6.47,11,,0,,02/03/2022
3132,11.5,4.36,13,,0,,02/03/2022
3135,4.9,4.74,11,,3.5,,02/03/2022
3188,7,4.94,10,,0,,02/03/2022
4034,12.8,5.25,9,,0,,02/03/2022
3982,7.9,4.86,9,,0,,02/03/2022
3772,4.1,2.98,,4,1.3,,02/03/2022
4262,3.9,2.66,,5,3.5,,02/03/2022
3264,5.3,3.02,,4,0,,02/03/2022
3810,3.1,3.2,,3,2.2,,02/03/2022
3630,7,3.96,5,,0,,02/03/2022
3532,10.8,4.05,14,,0,,02/03/2022
4228,4.5,2.49,,4,1.5,,02/03/2022
4315,5,2.55,,4,8,,02/03/2022
3890,4.1,3.27,,5,3.8,,02/03/2022
4236,NA,NA,,0,NA,dead,02/03/2022
4302,8.1,4.29,,5,3.2,,02/03/2022
3789,4.1,2.83,,5,2.5,,02/03/2022
3779,4.8,3.24,,5,6,,02/03/2022
3012,8.4,3.44,4,,0,,02/03/2022
4165,6.1,4.82,5,,0,,02/03/2022
4025,11.8,4.23,1,,0,,02/03/2022
4033,4.8,6.35,8,,0,,02/03/2022
4024,2.8,3.13,4,,0,,02/03/2022
3544,5.5,3.79,15,,0,,02/03/2022
4293,3.7,2.57,,3,2.5,,02/03/2022
3272,5.1,2.44,,3,2,,02/03/2022
3867,NA,NA,,NA,NA,dead,02/03/2022
3715,5.3,5.57,6,,0,,02/03/2022
3936,3.6,2.59,,5,9,,02/02/2022
3964,7.1,3.74,9,,0,,02/02/2022
4021,8,5.08,6,,0,,02/02/2022
3590,9.4,4.33,12,,0,,02/02/2022
3773,4.4,1.9,,4,2,,02/02/2022
3473,4,2.23,,2,0.5,,02/02/2022
4139,7,4.38,2,,0,,02/02/2022
3007,7.5,4.48,20,,2.5,,02/02/2022
4243,4.2,2.77,,2,1,,02/02/2022
3836,5.7,3.45,,4,11,,02/02/2022
3653,11.9,4.82,12,,0,,02/02/2022
4098,6.2,4.24,9,,0,,02/02/2022
3398,4.6,2.15,,2,0.5,,02/02/2022
3412,5.5,2.67,,2,0.5,,02/02/2022
3046,12.5,4.65,9,,0,,02/02/2022
3600,9.4,5.65,17,,8.5,,02/02/2022
3905,6.7,3.2,,3,4,,02/02/2022
3335,5,2.17,,2,2,,02/02/2022
3933,4.2,3.14,,3,8,,02/02/2022
3245,3.7,2.56,,2,0.5,,02/02/2022
4279,5.1,2.54,,1,3,,02/02/2022
3728,7.9,3.42,,3,5.5,,02/02/2022
4285,5.5,3.38,,4,2,,02/02/2022
3284,5.3,2.9,,1,3.5,,02/02/2022
4160,5,4.24,7,,0,,02/02/2022
3973,6.1,5.66,9,,0,,02/02/2022
4386,7.3,3.38,,3,4.5,,02/02/2022
3597,14.3,6.37,20,,16.5,,02/02/2022
3837,5.2,2.69,,3,4,,02/02/2022
3587,20.3,4.98,3,,0,,02/02/2022
4324,7.1,2.3,,1,5,,02/02/2022
3276,4.5,2.46,,4,4,,02/02/2022
4014,5.6,3.61,9,,0,,02/02/2022
3000,20,5.39,8,,0,,02/02/2022
3118,10,4.01,6,,0,,02/02/2022
3136,8.4,4.15,3,,0,,02/02/2022
3662,19.8,6.33,12,,0,,02/02/2022
3655,10.9,4.69,8,,0,,02/02/2022
4333,6.6,3.32,,4,3.5,,02/02/2022
3775,6.5,2.95,,4,0.5,,02/02/2022
4028,10.4,4.81,12,,0.5,,02/02/2022
3955,4.6,2.92,,3,4,,02/02/2022
4400,4.5,2.49,,3,4,,02/02/2022
3260,5,2.57,,2,2,,02/02/2022
4426,5.6,3.01,,4,7,,02/02/2022
3665,10.5,4.92,18,,3,,02/02/2022
3967,6.9,6.25,8,,0,,02/02/2022
3693,8.5,4.72,9,,0,,02/02/2022
3799,7.6,3.45,,4,5.5,,02/02/2022
3679,5.2,4.55,5,,0,,02/02/2022
3270,5.8,3.03,,1,1.5,,02/02/2022
3269,4.6,2.27,,2,1,,02/02/2022
3785,4.9,2.79,,5,9,,02/02/2022
3777,5.5,2.53,,4,4.5,,02/02/2022
4000,6.9,4.62,10,,0,,02/02/2022
3559,8,3.77,11,,1,,02/02/2022
3872,5.9,2.74,,3,6,,02/02/2022
3251,4.6,2.34,,2,1,,02/02/2022
3734,5.7,2.98,,4,6.5,,02/02/2022
4335,5.1,2.67,,3,3.5,,02/02/2022
3589,11.4,3.79,13,,2,,02/02/2022
4140,13,4.29,5,,0,,02/02/2022
4004,19.1,4.55,6,,0,,02/02/2022
4157,6.9,5.44,5,,0,,02/02/2022
3826,4.3,3.05,,4,5,,02/02/2022
3557,7,3.2,9,,6,splits at base,02/02/2022
4312,5,2.38,,3,5.5,,02/02/2022
3553,8,3.28,9,,6,,02/02/2022
3483,6.8,3.52,4,,0,,02/02/2022
4061,9.8,4.09,10,,0,,02/02/2022
3752,8.5,2.54,,3,1,,02/02/2022
3739,4.5,2.19,,3,1.5,,02/02/2022
4241,6,2.56,,3,1,,02/02/2022
4362,4.8,2.86,,3,3,,02/02/2022
3129,6.4,5.05,5,,0,,02/02/2022
3127,6.1,4.65,4,,0,,02/02/2022
4283,5.5,3.2,,4,4,,02/02/2022
3266,4.5,2.71,,2,0.5,,02/02/2022
3243,3.9,2.1,,1,0.5,,02/02/2022
3242,3.9,2.23,,3,2,,02/02/2022
4260,6.1,2.54,,4,4.5,,02/02/2022
3494,7.7,3.06,8,,0,,02/02/2022
3482,6.4,3.43,6,,0,,02/02/2022
4158,5,3.42,5,,0,,02/02/2022
3102,10,4.78,8,,0,,02/02/2022
3117,6,5.2,8,,0,,02/02/2022
4345,4.7,2.89,,4,7,,02/02/2022
3957,4.1,3.07,,3,7,,02/02/2022
4097,6.4,3.83,11,,5,,02/02/2022
3529,11.6,4.91,16,,0,,02/02/2022
4001,10.8,5.76,15,,0,,02/02/2022
3855,7.5,3.71,,3,3,,02/02/2022
3812,4.1,2.11,,3,6.8,,02/02/2022
3513,7.1,2.39,12,,6,,02/02/2022
4240,5.5,2.63,,2,0,,02/02/2022
3722,6,3.18,,3,4,,02/02/2022
3744,5,2.42,,3,4,,02/02/2022
4371,6,2.84,,3,3,,02/02/2022
4099,8.4,3.78,7,,0,,02/02/2022
3506,10.2,3.96,20,,5,,02/02/2022
3745,4.8,2.57,,3,5.5,,02/02/2022
3756,5.8,2.66,,4,4.5,,02/02/2022
3381,5.5,2.54,,3,4.5,,02/02/2022
3883,5,2.63,,2,2.5,,02/02/2022
3524,5.1,2.81,12,,5,splits at base,02/02/2022
4018,5.9,3.9,10,,0,,02/02/2022
4316,7.7,3.22,,4,3,,02/02/2022
3885,5.3,2.28,,3,5,,02/02/2022
4100,8,4.18,3,,1.5,,02/02/2022
3732,5,3.57,,3,20.5,,02/02/2022
3953,6.1,3.15,,3,6.5,,02/02/2022
4369,5.5,3.52,,3,7.5,,02/02/2022
4276,11.8,2.7,,3,7.5,,02/02/2022
3508,11.5,4.83,9,,0,,02/02/2022
3255,5.4,2.78,,1,1.5,,02/02/2022
4327,5.6,2.52,,4,4,,02/02/2022
3844,8.3,3.53,,4,2,,02/02/2022
3542,8.8,3.7,10,,0,,02/02/2022
3603,8.3,5.14,14,,2,,02/02/2022
4284,6.9,3.14,,3,9,,02/02/2022
4031,8,4.35,7,,0,,02/02/2022
4071,13.3,4.75,15,,0,,02/02/2022
3793,6.5,2.71,,4,0,,02/02/2022
3385,5.2,3.23,,4,0,,02/02/2022
3502,9,5.64,11,,0,,02/02/2022
3780,7,3.47,,3,0,,02/02/2022
3643,7.5,2.53,5,,0,,02/02/2022
3646,9.6,4.17,10,,0,,02/02/2022
3525,6.5,3.29,4,,0,,02/02/2022
3048,5.6,3.81,8,,0,,02/02/2022
3183,12,4.75,14,,0,,02/02/2022
3574,9.5,3.43,6,,0,,02/02/2022
3151,10.7,5.08,19,,0,,02/02/2022
3191,6,4.37,4,,2,,02/02/2022
4274,5.4,2.67,,3,2,,02/02/2022
3795,8,3.23,,3,0,,02/02/2022
3827,8.1,3.65,,5,1.5,,02/02/2022
3612,13.5,4.16,13,,0,,02/02/2022
3918,4,2.46,,4,1.4,,02/02/2022
3539,7.9,4.61,9,,3.5,,02/02/2022
3536,11,4.26,16,,0,,02/02/2022
4036,5.1,4.18,11,,0,,02/02/2022
4429,4.6,2.54,,3,2.7,,02/02/2022
3615,10.6,3.53,9,,0,,02/02/2022
3006,6.5,4.41,6,,0,,02/02/2022
3593,9,4.87,10,,0,,02/02/2022
4268,4.3,2.74,,2,4.5,,02/02/2022
3271,2.6,1.84,,1,0,,02/02/2022
3186,9.6,4.26,9,,0,,02/02/2022
3645,9.5,3.24,12,,1,,02/02/2022
3617,8.5,6.5,5,,0,,02/02/2022
3592,14,3.85,25,,8.5,,02/02/2022
4109,7.4,4.63,11,,0,,02/02/2022
3821,4.3,2.71,,2,2.5,,02/02/2022
3828,5.4,2.67,,3,2.3,,02/02/2022
4205,5.5,3.1,,4,3.1,,02/02/2022
3541,7.8,3.75,10,,0,,02/02/2022
3879,4.5,2.11,,2,4.5,,02/02/2022
3042,5,3.44,8,,0,,02/02/2022
4017,8.5,5.07,16,,1,,02/02/2022
4085,9,6.57,7,,6.8,,02/02/2022
3139,4.9,2.95,5,,0,,02/02/2022
3543,6.5,3.22,11,,0,,02/02/2022
4081,9.4,4.31,12,,0,,02/02/2022
3566,12.8,4.58,25,,6.5,,02/02/2022
4404,5.2,2.97,,5,0,,02/02/2022
3838,6.9,3.48,,4,5.5,,02/02/2022
3839,8.5,3.55,,5,3,,02/02/2022
3700,20,4.36,8,,0,,02/02/2022
3787,4.5,2.78,,5,3.2,,02/02/2022
4402,4,2.42,,3,1.5,,02/02/2022
3522,21.3,4.75,7,,0,,02/02/2022
3683,13.9,5.19,8,,1,,02/02/2022
3796,4.9,2.9,,5,0,,02/02/2022
3861,5.5,2.79,,3,0,,02/02/2022
4144,10,4.4,19,,4,,02/02/2022
4233,6.2,2.94,,3,2,,02/02/2022
3244,4.5,1.85,,4,0,,02/02/2022
4235,4.3,2.15,,4,0,,02/02/2022
4054,10.5,4.13,12,,0,,02/02/2022
4123,6.8,4.39,5,,0,,02/02/2022
3894,5.1,2.85,,2,6,,02/02/2022
3616,10.2,4.82,15,,9,,02/02/2022
3840,9.7,3.56,,4,9.5,,02/02/2022
3278,4,1.76,,3,0,,02/02/2022
3833,7,3.09,,5,2.4,,02/02/2022
3550,10.1,4.63,19,,4.1,,02/02/2022
3181,12.5,5.25,6,,0,,02/02/2022
3562,7.7,6.65,28,,10.9,,02/02/2022
3570,12,4.08,36,,25.1,,02/02/2022
4086,10.7,4.57,10,,0,,02/02/2022
4209,4,2.26,,3,0,,02/02/2022
3771,6.2,2.74,,2,0,,02/02/2022
3697,16,4.93,9,,0,,02/02/2022
3386,4.3,1.91,,1,0,,02/02/2022
3268,3.4,1.84,,1,0,,02/02/2022
3709,10.3,4.18,16,,0,,02/02/2022
3708,18.5,4.68,11,,3.5,dead leaves,02/02/2022
3803,7.3,2.46,,4,2,,02/02/2022
4242,7.9,2.66,,4,3.1,,02/02/2022
4325,6.3,2.8,,5,4.5,,02/02/2022
3781,6.5,4.03,,5,8,,02/02/2022
4008,6.3,8.3,11,,1.1,,02/02/2022
3992,6.6,5.9,12,,0,,02/02/2022
3554,8.5,4.3,14,,2.7,,02/02/2022
3018,5.2,4.1,6,,0,,02/02/2022
4256,4.7,2.35,,3,3.5,,02/02/2022
3991,9,4.03,21,,2,,02/02/2022
3701,13,5.78,14,,0,,02/02/2022
4230,7.5,3.01,,4,0,,02/02/2022
3273,4.5,2.52,,1,0,,02/02/2022
3776,4.2,2.56,,3,3.3,,02/02/2022
3197,28,4.74,14,,0,,02/02/2022
4044,16.6,7.93,10,,0,,02/02/2022
3569,12.5,5.54,15,,5.8,,02/02/2022
3932,3.8,2.77,,4,3.1,,02/02/2022
3027,8.5,4.51,5,,0,dead leaves,02/02/2022
3011,9.5,4.69,9,,3.5,,02/02/2022
4237,6.8,2.62,,4,1,,02/02/2022
4175,9.6,5.92,20,,3.2,,02/02/2022
3045,9.5,4.74,6,,0,,02/02/2022
3044,6,6.32,3,,0.5,,02/02/2022
4170,4.5,5.07,10,,0.5,,02/02/2022
3704,8.3,8.55,15,,3,,02/02/2022
3382,2,2.26,,3,0,,02/02/2022
3764,5.6,2.03,,4,1.8,,02/02/2022
4322,4.9,2.94,,4,3,,02/02/2022
4408,5.1,2.38,,4,3.1,,02/02/2022
4265,7.5,2.52,,4,1.5,,02/02/2022
3650,6.2,2.8,8,,0,,02/02/2022
4332,7.2,2.77,,3,5,,02/02/2022
4066,8.5,4.9,21,,8,,02/02/2022
3001,7,4.17,9,,0,,02/02/2022
3974,10,3.91,9,,0,,02/02/2022
3077,5.5,3.61,10,,0,,02/02/2022
3611,10,3.61,12,,0,,02/02/2022
4096,10,2.9,7,,0,,02/02/2022
3109,4,4.43,3,,0,,02/02/2022
4091,6.1,3.69,8,,0,,02/02/2022
3488,4.3,3.35,6,,0,,02/02/2022
4227,7.5,2.3,,5,0,,02/07/2022
4399,5.4,2.1,,4,2.5,,02/07/2022
3489,26,4.6,7,,0,,02/07/2022
3511,6.6,3.8,7,,0,,02/07/2022
4092,13,5.4,5,,0,,02/07/2022
4257,7,2.4,,4,2.6,,02/07/2022
3742,3.7,1.9,,4,1,,02/07/2022
3724,4.3,2.5,,5,6,,02/07/2022
4251,4.5,2.2,,4,4,,02/07/2022
3241,3.7,2.1,,2,0,,02/07/2022
4258,6.8,2.8,,3,4,,02/07/2022
3521,12.8,5.5,16,,0,,02/07/2022
3938,5.5,2.3,,4,4.8,,02/07/2022
3896,4.8,1.9,,2,3.5,,02/07/2022
3567,6.6,3.2,11,,0,,02/07/2022
3917,2.8,1.8,,3,2,,02/07/2022
3333,3.7,1.4,,1,0,,02/07/2022
3325,3.9,1.5,,1,0,,02/07/2022
3530,11,3,19,,3.5,,02/07/2022
4413,7,2.8,,5,9.5,,02/07/2022
3852,4.5,2.2,,4,3.5,,02/07/2022
3425,4.3,1.9,,3,4.5,,02/07/2022
4041,9.5,4,23,,4,,02/07/2022
3107,8.5,5.3,8,,0,,02/07/2022
4117,7.7,3.4,20,,1.5,,02/07/2022
3843,6.8,2.7,,4,5.5,,02/07/2022
4253,4.8,2.4,,3,1,,02/07/2022
3254,4,2.1,,2,1.3,,02/07/2022
3751,4,1.7,,5,1.2,,02/07/2022
3258,4.5,2.5,,3,2,,02/07/2022
4344,3.5,2.2,,2,3,,02/07/2022
3265,4.1,2.1,,1,0,,02/07/2022
4056,6.5,5.8,8,,0,,02/07/2022
4029,5.5,4.1,8,,0,,02/07/2022
3517,7.7,4.9,8,,0,,02/07/2022
4323,7.8,3.3,,5,2,,02/07/2022
3518,19.4,6.1,11,,0,,02/07/2022
3113,6.3,4.2,8,,0,,02/07/2022
4055,8.1,4.6,17,,9.5,,02/07/2022
3853,5.5,2.7,,4,4.5,,02/07/2022
3862,3.7,2.3,,4,3,,02/07/2022
3415,4.7,2,,3,1.5,,02/07/2022
3664,11.1,5.1,17,,3,,02/07/2022
3120,10.5,4,5,,0.5,,02/07/2022
3531,7.4,4,10,,0.5,,02/07/2022
4146,12.8,4.5,13,,8,,02/07/2022
4419,5.4,2.4,,4,3,,02/07/2022
4047,9.5,4.4,10,,0,,02/07/2022
3108,6.1,4.4,7,,1,,02/07/2022
3119,9.5,4.4,15,,0,,02/07/2022
4336,5,2.8,,2,3.5,,02/07/2022
3414,4.2,2,,1,0,,02/07/2022
3496,11.5,4.4,,4,0,,02/07/2022
3505,11.3,4.2,9,,0,,02/07/2022
3423,3.8,1.5,,4,0,,02/07/2022
4273,3.7,1.7,,4,1,,02/07/2022
4027,5.2,4,14,,1.3,,02/07/2022
3580,4.8,3.6,6,,0,,02/07/2022
4282,5.9,1.9,,4,4.5,,02/07/2022
4132,10.2,5.4,10,,0,,02/07/2022
4120,17,3.1,14,,0,,02/04/2022
4042,11.5,4.2,6,,7,,02/04/2022
3358,4.8,1.7,,3,2,,02/04/2022
3379,4,2.1,,3,3,,02/04/2022
4310,6,1.8,,4,4.5,,02/04/2022
4305,4.7,1.9,,4,2.7,,02/04/2022
4289,4,2.3,,5,1.8,,02/04/2022
3337,4.2,1.8,,5,3,,02/04/2022
4353,5,2,,5,1.5,,02/04/2022
4387,5.3,1.9,,3,0,,02/04/2022
4308,5.7,2.3,,4,4,,02/04/2022
4011,7,4.3,21,,6,,02/04/2022
4309,3.8,2.3,,4,1,,02/04/2022
3783,4.3,2.3,,4,3,,02/04/2022
3736,5.5,2.5,,5,3,,02/04/2022
3899,3.7,2.3,,5,4.5,,02/04/2022
4105,9,4,10,,2.5,,02/04/2022
4380,4.5,2.6,,4,3,,02/04/2022
3804,4,1.4,,5,1.5,,02/04/2022
4401,3.7,2.1,,5,1.5,,02/04/2022
4396,7.7,2.6,,5,6.5,,02/07/2022
3377,3.9,2.2,,4,1.5,,02/07/2022
3629,14.9,5.5,7,,0,,02/07/2022
3626,7.7,3.4,9,,4,,02/07/2022
3727,5.2,2.4,,4,4,,02/07/2022
3328,4.2,2.1,,0,0,dead,02/07/2022
4127,22.2,5.8,16,,0,,02/07/2022
3880,5.7,2.7,,5,3,,02/07/2022
3640,12.1,5.5,20,,4,,02/07/2022
3599,9.8,4.9,13,,0,,02/07/2022
3817,5.3,2.4,,4,1.5,,02/07/2022
3849,5.1,2.9,,5,5.5,,02/07/2022
3741,6.5,3.1,,5,6,,02/07/2022
3493,11.6,3.3,6,,0,,02/07/2022
