seedling_id,colonization_numerator,colonization_denominator,plate,column,A,B,C,D,E,F,G,H,tip_notes,puller
3993,71,168,219009,9,DQ,E,D,B,B,A,B,L,,hvm
3972,31,301,219009,10,B,D,E,BQ,C,C,D,NA,,hvm
3112,0,303,219009,11,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
3954,164,241,219009,12,G,G,G,G,NA,NA,NA,NA,,hvm
3937,117,178,219009,12,NA,NA,NA,NA,G,G,G,G,,hvm
3921,108,197,219010,1,G,G,G,G,G,G,G,G,,hvm
3977,127,264,219010,2,D,A,E,A,D,C,D,D,,hvm
3986,103,302,219010,3,C,B,D,D,E,B,D,NA,,hvm
3980,123,325,219010,4,D,D,B,CQ,D,C,D,E,,hvm
4176,26,282,219010,5,D,B,E,D,NA,NA,NA,NA,,hvm
3985,113,197,219010,6,EQ,D,D,B,C,L,A,C,,hvm
3970,51,155,219010,7,B,C,B,L,L,B,D,D,,hvm
4007,21,275,219010,8,Q,C,D,E,B,C,CQ,EQ,,hvm
3995,21,251,219010,5,NA,NA,NA,NA,B,EQ,A,C,,hvm
4392,30,67,219010,9,G,F,F,G,NA,NA,NA,NA,,hvm
4368,100,149,219010,10,J,G,JQ,G,J,G,G,JQ,,hvm
3913,78,138,219010,9,NA,NA,NA,NA,G,G,G,G,,hvm
3973,17,204,219010,11,B,A,D,D,D,L,E,D,,hvm
3964,26,348,219010,12,C,EQ,E,CQ,D,C,L,NA,,hvm
3109,NA,NA,219011,9,NA,NA,NA,NA,Q,Q,Q,Q,control tips,gcr
3728,33,93,219011,11,G,G,G,G,NA,NA,NA,NA,all same,gcr
3569,NA,NA,219011,12,A,E,A,L,B,L,L,A,,gcr
3933,40,139,219012,3,G,F,F,G,G,F,G,G,,gcr
3932,62,121,219012,4,G,G,G,G,NA,NA,NA,NA,,gcr
4279,14,114,219012,4,NA,NA,NA,NA,Q,G,G,G,,gcr
3245,0,101,219012,5,Q,Q,Q,Q,NA,NA,NA,NA,,gcr
4160,153,332,219012,1,L,B,D,D,D,D,D,D,,hvm
4159,34,292,219012,2,D,E,B,D,B,B,NA,NA,,hvm
3539,106,253,219012,6,N,A,C,N,D,A,E,L,,hvm
3662,105,259,219012,7,L,AQ,A,C,C,AQ,C,C,,hvm
3655,44,266,219012,8,D,D,L,L,A,N,D,D,,hvm
4327,171,150,219012,9,G,J,G,G,G,G,G,F,,hvm
4335,124,202,219012,5,NA,NA,NA,NA,G,G,G,G,,hvm
3734,131,248,219012,10,M,G,G,G,M,G,G,G,,hvm
4243,84,160,219012,12,G,J,G,G,G,J,J,G,,hvm
3653,32,253,219013,1,N,B,A,D,C,A,D,NA,,hvm
3529,117,251,219013,2,P,P,P,P,P,P,P,P,,hvm
4345,63,112,219013,3,G,G,G,G,NA,NA,NA,NA,,hvm
3957,81,112,219013,3,NA,NA,NA,NA,G,G,G,G,,hvm
3836,47,100,219013,4,J,G,G,G,NA,NA,NA,NA,,hvm
4097,32,238,219013,5,B,N,E,E,C,C,NA,NA,,hvm
3118,NA,NA,219013,6,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
3136,NA,NA,219013,7,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
3102,NA,NA,219013,8,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
4362,104,149,219013,4,NA,NA,NA,NA,G,G,G,G,,hvm
3251,0,213,219013,9,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
4276,79,148,219013,10,G,G,J,G,F,G,G,G,,hvm
4004,29,220,219013,11,D,D,D,D,NA,NA,NA,NA,,hvm
4283,72,127,219013,11,NA,NA,NA,NA,G,G,G,G,,hvm
3508,10,329,219013,5,NA,NA,NA,NA,NA,NA,A,NA,,hvm
3129,NA,NA,219013,12,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
3117,NA,NA,219014,1,Q,Q,Q,Q,NA,NA,NA,NA,,gcr
3872,21,70,219014,1,NA,NA,NA,NA,G,G,G,G,,gcr
4241,NA,NA,219014,2,G,G,G,G,G,G,G,G,,gcr
3414,0,137,219014,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4336,0,137,219014,5,G,G,G,G,G,G,G,J,,gcr
3127,NA,NA,219014,3,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
33266,0,235,219014,4,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
3741,174,271,219014,5,G,G,G,G,NA,NA,NA,NA,,hvm
3242,0,173,219014,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3243,0,264,219014,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3732,218,404,219014,5,NA,NA,NA,NA,G,G,G,G,,hvm
3488,5,170,219014,6,A,Q,Q,Q,Q,Q,Q,Q,,hvm
3493,36,216,219014,7,D,B,N,N,B,NA,NA,NA,,hvm
3482,26,276,219014,8,B,E,D,N,N,NA,NA,NA,,hvm
3739,12,128,219014,7,NA,NA,NA,NA,NA,F,F,F,,hvm
3752,101,225,219014,8,NA,NA,NA,NA,NA,G,G,G,,hvm
4260,161,242,219014,9,J,G,G,G,J,G,G,G,,hvm
3745,110,208,219014,10,G,G,G,G,NA,NA,NA,NA,,hvm
3756,97,155,219014,10,NA,NA,NA,NA,G,G,G,G,,hvm
4371,68,113,219014,11,G,J,G,G,J,J,G,G,,hvm
4257,162,116,219014,12,G,G,G,G,G,J,J,J,,hvm
3744,53,120,219015,1,G,G,G,G,NA,NA,NA,NA,,hvm
3506,22,298,219015,1,NA,NA,NA,NA,D,L,N,B,,hvm
4271,65,129,219015,2,J,J,G,G,G,F,G,G,,hvm
4233,162,229,219015,3,G,G,G,G,NA,NA,NA,NA,,hvm
3244,0,223,219015,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3757,66,102,219015,3,NA,NA,NA,NA,G,G,G,G,,hvm
3241,0,143,219015,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3497,23,255,219015,4,B,E,A,E,B,B,NA,NA,,hvm
4251,123,161,219015,5,G,G,G,G,NA,NA,NA,NA,,hvm
4258,82,114,219015,5,NA,NA,NA,NA,J,G,G,G,,hvm
4249,74,176,219015,6,G,G,G,G,NA,NA,NA,NA,,hvm
4324,104,205,219015,7,J,G,G,J,J,G,J,F,,hvm
3276,0,181,219015,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
4316,91,161,219015,8,G,G,J,J,J,G,G,G,,hvm
4400,95,141,219015,9,J,J,G,G,G,J,J,G,,hvm
3885,185,240,219015,10,G,G,J,G,G,G,J,G,,hvm
3260,0,274,219015,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3261,0,84,219015,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3955,19,80,219015,11,G,G,G,G,NA,NA,NA,NA,,gcr
4410,38,139,219015,11,NA,NA,NA,NA,G,G,G,G,,gcr
3938,34,105,219015,12,G,G,G,G,NA,NA,NA,NA,,gcr
3917,21,67,219015,12,NA,NA,NA,NA,G,G,G,G,,gcr
3258,0,100,219015,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4413,91,168,219016,2,NA,NA,NA,NA,F,G,G,G,,hvm
3839,79,194,219016,3,J,G,G,G,NA,NA,NA,NA,,hvm
3838,68,71,219016,3,NA,NA,NA,NA,G,G,G,G,,hvm
4235,45,171,219016,4,G,G,G,G,NA,NA,NA,NA,,hvm
4205,103,263,219016,5,G,G,G,J,G,G,J,G,,hvm
3536,41,365,219016,7,B,B,C,D,A,C,B,D,,hvm
4036,122,217,219016,8,E,E,D,C,L,D,D,D,,hvm
3735,140,235,219016,4,NA,NA,NA,NA,G,G,G,G,,hvm
3751,34,92,219016,1,G,G,G,G,NA,NA,NA,NA,,gcr
3896,31,75,219016,1,NA,NA,NA,NA,G,G,G,G,,gcr
3252,0,14,219016,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3738,43,80,219016,2,G,G,F,G,NA,NA,NA,NA,,gcr
4404,31,131,219016,6,G,J,G,J,NA,NA,NA,NA,,gcr
3828,65,154,219016,6,NA,NA,NA,NA,G,G,G,G,,gcr
3748,59,161,219016,9,H,H,H,H,NA,NA,NA,NA,,gcr
4321,34,127,219016,9,NA,NA,NA,NA,G,G,G,J,,gcr
3475,0,98,219016,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3254,0,139,219016,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3250,0,130,219016,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3438,0,83,219016,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3873,56,112,219016,10,G,G,G,G,NA,NA,NA,NA,,gcr
3901,29,84,219016,10,NA,NA,NA,NA,G,G,G,G,,gcr
4253,24,110,219016,11,G,GQ,G,G,NA,NA,NA,NA,,gcr
4277,28,84,219016,11,NA,NA,NA,NA,G,G,J,J,,gcr
4323,24,93,219016,12,J,J,G,G,G,G,G,G,,gcr
3553,49,145,219017,12,B,A,N,N,B,C,A,NA,,hvm
4322,73,165,219017,11,NA,NA,NA,NA,G,G,G,G,,hvm
4282,25,95,219017,6,G,G,G,G,NA,NA,NA,NA,,gcr
3415,0,101,219017,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3423,0,69,219017,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3862,63,97,219017,6,NA,NA,NA,NA,G,G,G,G,,gcr
4273,29,89,219017,7,GQ,GQ,GQ,GQ,NA,NA,NA,NA,,gcr
4343,41,81,219017,7,NA,NA,NA,NA,G,G,G,G,,gcr
3859,62,128,219017,8,G,GQ,G,G,NA,NA,NA,NA,,gcr
3817,47,138,219017,8,NA,NA,NA,NA,G,G,G,G,,gcr
3842,24,130,219017,9,GQ,G,G,F,NA,NA,NA,NA,,gcr
3849,29,124,219017,9,NA,NA,NA,NA,G,G,G,G,,gcr
3853,53,135,219017,10,G,G,G,G,NA,NA,NA,NA,,gcr
3474,0,100,219017,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3473,0,102,219017,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3433,0,107,219017,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3773,41,107,219017,10,NA,NA,NA,NA,G,G,G,G,,gcr
4426,43,132,219017,11,G,F,F,F,NA,NA,NA,NA,,gcr
3724,36,101,219017,1,F,G,G,GQ,G,G,F,G,,gcr
3843,41,120,219017,2,J,G,G,G,NA,NA,NA,NA,,gcr
3835,37,147,219017,2,NA,NA,NA,NA,G,G,G,G,,gcr
3742,51,192,219017,3,G,G,G,H,H,G,G,G,,gcr
3425,0,89,219017,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4419,34,117,219017,4,G,G,G,G,NA,NA,NA,NA,,gcr
3852,23,103,219017,4,NA,NA,NA,NA,G,G,G,G,,gcr
3883,62,160,219018,9,G,G,F,G,NA,NA,NA,NA,,gcr
4408,40,150,219018,1,NA,NA,NA,NA,G,G,G,G,,gcr
3722,44,114,219018,2,G,H,G,H,NA,NA,NA,NA,,gcr
4240,17,127,219018,2,NA,NA,NA,NA,F,G,G,F,,gcr
3953,38,122,219018,3,F,G,F,G,NA,NA,NA,NA,,gcr
3861,37,108,219018,3,NA,NA,NA,NA,G,G,G,J,,gcr
4402,82,183,219018,4,G,G,F,G,NA,NA,NA,NA,,gcr
4369,31,149,219018,4,NA,NA,NA,NA,G,G,G,G,,gcr
3777,108,184,219018,5,G,G,G,G,NA,NA,NA,NA,,gcr
3785,84,137,219018,5,NA,NA,NA,NA,G,G,G,G,,gcr
4394,65,165,219018,6,G,Q,G,G,H,G,G,G,,gcr
4308,17,126,219018,7,G,F,G,G,NA,NA,NA,NA,,gcr
4286,98,158,219018,8,JQ,G,G,J,G,J,G,G,,hvm
4139,45,240,219018,9,D,D,B,D,D,D,D,D,,hvm
3335,0,198,219018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3905,67,164,219018,7,NA,NA,NA,NA,Q,NA,NA,NA,,hvm
4284,88,203,219018,10,G,F,G,G,F,G,G,G,,hvm
3860,115,196,219018,11,G,G,G,G,G,G,G,G,,hvm
3440,0,206,219018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3854,45,111,219018,12,F,G,F,G,F,G,F,G,,hvm
4312,50,147,219018,1,G,G,G,G,NA,NA,NA,NA,,gcr
4221,6,89,219019,9,F,G,NA,NA,NA,NA,NA,NA,,gcr
3834,60,121,219019,9,NA,NA,J,G,G,J,G,J,,gcr
4397,13,207,219019,10,Q,K,NA,NA,NA,NA,NA,NA,,gcr
3334,0,96,219019,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3331,0,103,219019,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4330,41,171,219019,10,NA,NA,G,G,G,G,G,G,,gcr
4297,31,106,219019,11,G,G,G,G,NA,NA,NA,NA,,gcr
3265,0,139,219019,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3327,0,93,219019,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4311,32,117,219019,11,NA,NA,NA,NA,G,GQ,G,G,,gcr
4344,68,131,219019,12,G,F,G,G,NA,NA,NA,NA,,gcr
3880,47,98,219019,12,NA,NA,NA,NA,G,G,G,G,,gcr
3826,106,164,219019,1,G,J,F,M,K,G,G,G,,hvm
4018,121,297,219019,2,B,D,D,D,L,D,D,L,,hvm
3812,107,167,219019,3,G,G,G,G,NA,NA,NA,NA,,hvm
3513,100,310,219019,4,N,N,N,B,N,N,N,N,,hvm
4212,29,143,219019,5,F,F,G,J,NA,NA,NA,NA,,hvm
3999,106,342,219019,6,EQ,CQ,B,D,D,L,CQ,L,,hvm
3855,75,176,219019,7,G,G,G,J,NA,NA,NA,NA,,hvm
3827,72,153,219019,5,NA,NA,NA,NA,G,G,G,F,,hvm
3879,102,184,219019,3,NA,NA,NA,NA,G,G,G,G,,hvm
3278,0,136,219019,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3840,72,152,219019,7,NA,NA,NA,NA,G,G,G,F,,hvm
3833,94,145,219019,8,G,G,G,G,G,G,G,G,,hvm
3845,39,154,219020,1,G,F,F,F,NA,NA,NA,NA,,gcr
3333,0,106,219020,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3328,1,100,219020,1,NA,NA,NA,NA,Q,NA,NA,NA,,gcr
3325,0,115,219020,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3893,54,105,219020,1,NA,NA,NA,NA,NA,G,G,G,,gcr
4329,39,95,219020,2,G,G,G,G,NA,NA,NA,NA,,gcr
3727,34,118,219020,2,NA,NA,NA,NA,H,G,G,G,,gcr
3837,3,121,219020,NA,NA,NA,NA,NA,NA,NA,NA,NA,did not take tips,gcr
4416,27,103,219020,3,G,G,G,G,NA,NA,NA,NA,,gcr
4379,50,132,219020,3,NA,NA,NA,NA,G,F,F,GQ,,gcr
4370,51,148,219020,4,G,G,G,G,NA,NA,NA,NA,great examples of gabes G,gcr
4386,15,155,219020,4,NA,NA,NA,NA,G,G,FQ,G,,gcr
3824,63,123,219020,5,G,G,G,G,NA,NA,NA,NA,,gcr
4255,35,88,219020,5,NA,NA,NA,NA,G,G,G,G,,gcr
4280,46,151,219020,6,G,G,NA,NA,NA,NA,NA,NA,,gcr
3876,67,125,219020,6,NA,NA,NA,NA,G,G,G,G,check these!,gcr
3387,0,126,219020,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4328,35,79,219020,7,G,J,G,G,NA,NA,NA,NA,,hvm
4415,53,112,219020,8,J,J,J,J,J,G,F,G,,hvm
3821,63,141,219020,7,NA,NA,NA,NA,G,G,G,G,,hvm
4309,67,134,219020,9,F,G,G,F,F,F,G,J,,hvm
3783,147,260,219020,10,G,G,G,G,G,G,G,G,,hvm
3844,88,165,219020,11,G,J,AQ,J,G,G,F,G,d is weird black ball w wiry hyphae not attached to root,hvm
3383,0,144,219020,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
4407,88,179,219020,12,G,G,G,G,GQ,G,G,G,,hvm
4399,11,137,219021,6,JQ,J,F,G,NA,NA,NA,NA,,gcr
3813,53,98,219021,6,NA,NA,NA,NA,F,G,F,G,,gcr
3804,38,147,219021,7,G,G,GQ,G,NA,NA,NA,NA,,gcr
4227,18,164,219021,7,NA,NA,NA,NA,Q,G,G,H,,gcr
4401,28,116,219021,8,K,G,G,K,NA,NA,NA,NA,,gcr
3324,0,147,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3908,91,146,219021,8,NA,NA,NA,NA,M,M,G,G,,gcr
4387,1,124,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4353,29,102,219021,9,G,G,G,G,NA,NA,NA,NA,,gcr
4380,37,151,219021,9,NA,NA,NA,NA,G,F,G,G,,gcr
3832,56,116,219021,10,G,G,G,G,NA,NA,NA,NA,,gcr
3847,36,90,219021,10,NA,NA,NA,NA,G,F,G,G,,gcr
4263,13,52,219021,5,NA,NA,NA,NA,NA,NA,G,G,,gcr
4361,4,98,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3877,45,98,219021,11,G,G,G,G,NA,NA,NA,NA,,gcr
3858,10,108,219021,11,NA,NA,NA,NA,G,G,NA,NA,,gcr
3378,0,123,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3825,43,144,219021,12,G,G,F,G,NA,NA,NA,NA,,gcr
3856,18,143,219021,12,NA,NA,NA,NA,F,G,F,G,,gcr
4307,9,123,219021,1,G,G,NA,NA,NA,NA,NA,NA,took 2 bc only a few,gcr
4403,29,140,219021,1,NA,NA,G,G,G,G,NA,NA,,gcr
4315,31,164,219021,1,NA,NA,NA,NA,NA,NA,G,G,Sampled each big cluster,gcr
3281,0,166,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3279,0,153,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4228,3,66,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4291,4,124,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3760,64,100,219021,2,G,G,G,G,NA,NA,NA,NA,,gcr
4291,0,75,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3337,0,142,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3349,1,155,219021,2,NA,NA,NA,NA,Q,NA,NA,NA,,gcr
4310,7,143,219021,2,NA,NA,NA,NA,NA,Q,K,G,,gcr
3891,42,97,219021,3,G,F,G,G,NA,NA,NA,NA,,gcr
3808,42,135,219021,3,NA,NA,NA,NA,F,F,G,G,,gcr
4305,69,165,219021,4,F,F,G,G,NA,NA,NA,NA,,gcr
4289,20,151,219021,4,NA,NA,NA,NA,Q,G,G,G,,gcr
4222,11,157,219021,5,G,M,NA,NA,NA,NA,NA,NA,,gcr
3377,0,182,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3356,0,136,219021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4396,52,152,219021,5,NA,NA,GQ,G,G,G,NA,NA,PHOTO SAYS 4896,gcr
3542,38,262,219022,1,B,B,Q,L,D,E,EQ,LQ,,hvm
3272,0,200,219022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
4293,94,166,219022,2,G,G,G,G,NA,NA,NA,NA,,hvm
3890,105,181,219022,2,NA,NA,NA,NA,G,G,G,G,,hvm
4326,24,304,219022,3,G,G,F,J,NA,NA,NA,NA,,hvm
3725,124,184,219022,3,NA,NA,NA,NA,M,M,M,M,,hvm
4254,61,107,219022,4,G,J,F,J,G,G,J,F,,hvm
3551,28,204,219022,5,B,N,A,A,EQ,EQ,B,A,,hvm
4422,124,204,219022,6,G,F,G,G,J,G,G,G,,hvm
4373,15,72,219022,7,J,J,J,J,NA,NA,NA,NA,,hvm
3323,0,136,219022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3850,54,137,219022,7,NA,NA,NA,NA,G,G,G,G,,hvm
3426,0,342,219022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3767,50,110,219022,9,G,GQ,G,G,NA,NA,NA,NA,,gcr
3755,64,160,219022,9,NA,NA,NA,NA,K,G,F,G,!!,gcr
3358,0,135,219022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3379,0,112,219022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3766,14,96,219022,10,J,J,F,G,NA,NA,NA,NA,,gcr
4378,0,98,219022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3731,83,151,219022,10,NA,NA,NA,NA,H,H,H,H,,gcr
3364,0,125,219022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4367,48,107,219022,11,G,G,G,G,NA,NA,NA,NA,is this same as 4367?,gcr
4435,27,99,219022,11,NA,NA,NA,NA,G,G,G,G,,gcr
3899,61,107,219022,12,G,J,F,G,G,J,G,G,,gcr
4412,115,151,219023,8,G,J,J,J,J,G,J,J,,hvm
3094,0,239,219023,10,Q,Q,Q,Q,Q,Q,Q,Q,control tips,hvm
3487,237,332,219023,11,D,D,D,N,L,C,N,A,,hvm
3736,80,131,219023,1,G,G,G,G,NA,NA,NA,NA,,gcr
3339,0,137,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3378,0,130,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3723,46,103,219023,1,NA,NA,NA,NA,G,G,G,G,,gcr
3898,45,111,219023,2,Q,G,G,G,NA,NA,NA,NA,,gcr
3746,62,129,219023,2,NA,NA,NA,NA,G,G,G,J,,gcr
3897,62,166,219023,3,G,G,F,G,NA,NA,NA,NA,,gcr
4218,56,135,219023,3,NA,NA,NA,NA,G,G,G,GQ,,gcr
3434,0,174,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3900,51,107,219023,4,G,G,F,G,NA,NA,NA,NA,,gcr
4429,34,166,219023,4,NA,NA,NA,NA,G,G,G,G,,gcr
3361,0,127,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3369,0,110,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
4424,43,143,219023,5,J,F,F,F,G,G,G,G,,gcr
4436,74,176,219023,6,F,F,F,F,NA,NA,NA,NA,,gcr
3740,69,180,219023,6,NA,NA,NA,NA,F,F,F,G,fixed mix up,gcr
3359,0,140,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3348,0,137,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3737,58,157,219023,7,G,G,G,G,NA,NA,NA,NA,,gcr
4209,22,143,219023,7,NA,NA,NA,NA,G,GQ,G,G,,gcr
3894,59,157,219023,8,G,G,G,G,NA,NA,NA,NA,,gcr
3381,0,123,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3382,0,112,219023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,gcr
3764,46,148,219023,8,NA,NA,NA,NA,G,H,G,H,,gcr
3492,54,217,219023,12,N,L,EQ,L,D,D,D,L,,hvm
3678,32,257,219024,1,L,A,A,DQ,C,C,CQ,D,,hvm
4040,82,187,219024,2,C,LQ,EQ,E,D,D,L,L,column c-e?,hvm
4126,77,269,219024,3,B,B,L,CQ,L,L,B,L,,hvm
4125,40,246,219024,4,D,CQ,D,B,B,B,D,B,,hvm
3579,119,150,219024,5,L,B,B,L,D,EQ,D,L,,hvm
4128,72,235,219024,6,EQ,CQ,C,D,C,L,EQ,L,,hvm
3137,0,210,219024,7,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
3206,0,214,219024,8,Q,Q,Q,Q,Q,Q,Q,Q,,hvm
4179,85,219,219024,9,D,N,D,D,C,C,D,L,,hvm
4181,20,180,219024,10,AQ,EQ,C,D,EQ,D,L,EQ,,hvm
4171,41,187,219024,11,C,AQ,B,D,E,D,E,D,,hvm
4084,62,231,219024,12,D,LQ,B,D,D,L,D,D,,hvm
3053,0,299,219025,1,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3218,0,272,219025,2,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3091,0,237,219025,3,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3098,0,311,219025,4,B,B,Q,Q,B,Q,Q,Q,,gcr
3070,5,211,219025,5,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3217,0,273,219025,6,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3221,0,303,219025,7,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
4216,16,129,219025,8,G,G,G,G,G,G,G,G,,gcr
4208,27,159,219025,9,G,G,M,G,G,G,G,G,,gcr
4418,19,203,219025,10,G,G,G,G,G,G,G,G,,gcr
4383,58,160,219025,11,G,G,G,G,G,G,G,G,,gcr
4348,9,120,219025,12,G,G,G,F,G,F,G,G,,gcr
