seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,notes
3897,4.4,2.7,,5,
3148,24.4,4.09,20,,
4062,22.2,4.4,20,,
3609,23.5,4.96,17,,
3606,15,5.97,13,,
3740,6,2.49,,3,
3369,3.2,2.17,,2,
3189,9.2,3.53,12,,
3565,15.4,3.77,13,,
3533,6.4,4.14,8,,
3994,17.9,5.05,15,,
3359,4.4,2.13,,3,
3348,2.5,1.85,,3,
3581,11.6,3.9,15,,
4015,15.4,3.36,10,,
3985,11.3,5.61,10,,
4269,4.6,2.42,,5,
4266,6,3.46,,5,
4398,4.5,2.77,,5,
3392,2.8,1.92,,2,
3400,3.6,2.21,,2,
3993,10.8,4.54,19,,
3112,7.6,5.51,12,,
4163,20.4,4.61,14,,
3937,2.7,2.17,,5,
3972,5.2,4.09,11,,
3921,4.8,2.9,,4,
3986,6.3,4.35,12,,
4417,5.4,2.18,,4,
4176,6.2,6.89,8,,sorta dead
3977,6.4,2.97,10,,
3806,7.3,3.83,,5,
3705,10.4,4.09,9,,
4368,3.8,2.16,,5,
4384,4.7,1.69,,4,
3995,5.5,4.63,7,,
4007,10.5,5.07,14,,
3970,9.8,4.31,11,,
3913,4.3,1.76,,5,
4392,2.7,2.16,,5,
4388,4.3,2.36,,5,
4378,4.5,2.4,,5,
4089,5,2.84,8,,
3619,7.5,3.51,9,,
3621,6.1,2.91,12,,
3052,5.5,3.24,15,,
3551,9,3.67,8,,
4361,4,2.36,,5,
3847,3,2.01,,4,
3877,6.5,3.04,,5,
4363,1.2,1.07,,1,dead
4222,4,2.87,,5,
3808,3.3,2.59,,4,
4135,8,2.58,12,,
3095,7,4.07,13,,
3051,7.5,4.85,7,,
3486,8.3,3.92,16,,
3324,3.1,1.79,,1,
3908,3.5,1.74,,5,
3056,4.5,3.27,8,,
3987,10.6,4.14,13,,
3349,3,2.11,,2,
3891,2.6,1.62,,4,
3577,5.8,4.3,7,,
3767,5.8,2.61,,5,
4032,12.6,2.95,23,,
4326,3,1.56,,5,
4054,3.3,2.38,,5,
3725,4.2,2.38,,5,
4013,7.9,4.26,12,,
3856,4.6,3.51,,5,
3783,3.7,2.53,,4,
4309,3.5,2.14,,5,
4403,4.6,2.45,,5,
3591,11.5,3.83,10,,
4105,8.3,4.79,15,,
4380,4.1,3.19,,5,
3576,8.3,4.42,11,,
4329,4.4,2.16,,4,
4286,4.5,2.45,,4,
3997,7.3,4.63,15,,
3731,4.2,2.67,,5,
3766,3.5,2.61,,5,
3736,5.1,2.57,,5,
3899,3.5,2.49,,5,
3337,4,1.89,,4,
4289,3.2,2.8,,4,
3613,14,3.49,13,,
3558,11,4.17,11,,
4310,5.5,1.7,,5,
4305,3.9,2.15,,5,
3379,3.5,2.31,,3,
3358,3.7,2.35,,3,
4042,9.6,3.64,16,,
4120,16.5,3.25,15,,
3331,3,1.58,,1,
3334,2.5,2.15,,1,
3582,8.5,6.3,9,,
4416,2.5,2.08,,4,
3832,5.5,2.72,,5,
3858,5.7,3.33,,5,
3805,5.1,2.63,,5,
4390,5.3,2.66,,5,
4005,11.3,3.32,9,,
3504,16.8,3.76,14,,
3126,3.9,2.79,4,,
3111,11.8,4.74,12,,
4167,6.3,2.65,7,,
4196,5.6,3.7,11,,
3959,5.7,2.71,,5,
4183,10.4,3.81,16,,
3026,7.5,3.55,7,,
3654,15.5,4.6,24,,
3274,3.7,1.34,,1,
4155,9.4,3.59,10,,
3033,7,4.86,7,,
3125,5.1,3.49,6,,
3509,9,3.4,8,,
4002,11.7,6.5,18,,
3778,5.1,2.61,,4,
3980,10.6,4.53,12,,
3013,10.5,3.84,9,,
3954,4.8,1.91,,4,
4261,3,2.37,,5,
3782,5.3,2.83,,5,
3628,4.3,3.79,8,,
3946,6.9,3.39,,5,
4185,4.4,3.77,16,,
3275,4.2,2.44,,4,
3259,5,2.39,,2,
3801,4.4,2.22,,5,
4238,3,2.3,,4,
3916,4.8,1.94,,5,
3058,3.6,3.95,5,,
4148,9.4,3.87,3,,
4151,5.3,3.6,13,,
4147,4,5.8,14,,
3688,3.2,3.93,4,,
3043,4.7,4.16,9,,
3035,4.4,4.21,8,,
3718,5.6,3.93,12,,
3769,5.1,2.43,,5,fixed manually
4082,6,3.8,10,,
3279,2.5,1.93,,2,
3281,3.9,2.04,,2,
4291,3.6,1.68,,5,
4290,3.8,2.22,,5,
3760,3.3,2.36,,4,
4026,4.3,3.01,7,,
3943,3.2,2.46,,5,
4192,3.2,3.61,5,,
4317,7.1,2.37,,4,
3638,7.9,3.9,8,,
3495,6.4,3.46,9,,
4319,4.2,2.45,,5,
4213,6.1,1.94,,4,
4187,6.4,3.47,12,,
3002,6.5,2.04,8,,
3005,6.7,2.07,7,,
4341,6,2,,5,
4391,4,2.13,,5,
3135,5,3.33,14,,
3132,10.2,5.21,12,,
3586,25.2,5.55,18,,
3876,4.4,2.21,,4,
3963,4.9,4.14,9,,
3696,20.1,5.2,14,,
4262,4.4,2.77,,5,
3264,5.2,1.91,,2,
3810,4.3,1.99,,4,
3630,7.8,4.3,8,,
4228,4.8,1.67,,5,
3532,10.6,4.06,20,,
3890,4.7,2.99,,5,
4315,3.1,2.38,,4,
4302,3.8,2.75,,5,
4236,4.2,3.07,,4,
3789,5.2,2.51,,5,
3779,5.2,3.88,,5,
3715,7.4,4.7,8,,
3867,2.5,1.76,,1,dead
4293,2.5,2.57,,5,
3272,5,2.1,,3,
4024,2,3.58,6,,
3544,4.7,3.52,14,,
4033,5.8,5.28,9,,
4025,12.8,4.11,23,,
4165,6.6,5.25,6,,
3012,7.9,3.44,6,,
4334,5.5,2.7,,5,
3680,6,4.74,9,,
4075,6,4.57,10,,
4069,4.1,3.53,5,,
4285,4.2,2.41,,5,
3284,3.3,2.03,,1,
3774,4.3,2.49,,5,
3965,9.1,4.45,12,,
3547,5,1.42,4,,
4038,6.4,3.36,9,,
4415,2.9,2.93,,5,
4328,2.5,1.71,,1,
4407,3.8,2.18,,5,
3383,2.4,2.22,,2,
3110,8,3.32,13,,
4083,6.7,7.56,9,,
4070,6.6,3.65,6,,
3552,6.6,5.42,16,,
4159,4.2,4.89,7,,
3114,5.5,5.71,8,,
3584,10.5,5.05,11,,
4255,3.2,1.99,,4,
4079,13.1,6.23,17,,
4280,3.1,2.38,,5,
4162,6,4.85,6,,
4320,4.7,2.71,,5,
3008,7.1,6.61,11,,
4195,9,3.9,30,,
3772,6.5,2.59,,4,
3982,8.1,5.55,12,,
3188,6.8,4.58,11,,
4034,13.8,4.93,16,,
3653,10.7,4.59,14,,
4098,6.6,3.92,9,,
3412,4.2,2.99,,3,
3398,3.2,2.46,,3,
3046,9.8,4.64,9,,
3600,6.3,7.03,15,,
3335,4,2.09,,3,
3905,5.4,2.84,,5,
3933,2.9,2.65,,4,
3245,1.9,2.54,,2,
4279,5,2.44,,5,
3728,7.4,2.69,,5,
3695,11,5.5,12,,
3714,10.6,4.47,13,,
4134,20.9,6.5,15,,
3824,4.3,2.12,,5,
3837,4.7,2.33,,5,
3587,19.8,4.82,12,,
4386,6.7,3.12,,5,
3597,8.7,5.42,11,,
4160,5.3,4.53,8,,
3973,6.6,6.52,10,,
4278,4.5,2.63,,5,
3798,6,2.02,,5,
4405,6.2,2.44,,5,
4318,7.4,2.57,,5,
3605,10.6,4.28,15,,
4037,4.8,3.63,16,,
3601,8.9,3.22,14,,
3141,17.1,6.35,7,,
4028,8.4,4.97,13,,
3955,3.8,2.47,,5,
3260,3.7,2.28,,1,
4400,3,2.39,,5,
3665,9.6,4.77,18,,
4426,2.9,1.95,,5,
3967,5.2,4.72,8,,
3693,6.9,5.43,9,,
4335,3.4,2.31,,5,
3734,5,2.69,,5,
3872,5.4,2.55,,5,
3251,3.3,2.3,,4,
3559,7.5,3.06,13,,
4000,5.8,4.08,10,,
3785,3.9,2.84,,5,
3777,4.5,2.98,,5,fixed manually
3269,4,2.42,,3,
3270,4.7,2.92,,3,
3679,5.4,3.87,5,,
3799,6.6,2.65,,5,
3836,5.4,2.7,,5,
4243,3.8,2.38,,4,
4139,6.9,4.8,6,,
3007,6.4,4.25,23,,
3473,3.5,2.52,,3,
3773,2.7,1.6,,5,
4021,8.7,5.67,8,,
3590,8.8,4.43,12,,
3936,2.3,2.28,,5,
3964,6.3,3.68,9,,
4061,9.4,4.65,11,,
3483,6.5,3.63,4,,
3553,3.8,3,6,,
4312,2,1.85,,5,
3557,6.5,3.82,9,,
3826,4,1.99,,5,
3117,4.8,5.81,10,,
3102,9.5,4.48,12,,
4158,4.1,3.66,5,,
3482,4.3,3.56,6,,
3494,7.2,3.75,8,,
4260,5.6,2.54,,5,
3243,3.2,2.15,,3,
3242,2.2,2,,3,
3266,3.5,2.04,,2,
4283,2,2.88,,5,
3662,19.5,6.18,14,,
3655,10.3,4.41,11,,
3118,9.7,4.64,9,,
3136,8.5,4.82,6,,
3000,18,6.45,17,,
4014,4.3,3.88,9,,
3276,2.7,2.45,4,,
4324,2.8,2.26,5,,
3529,11,4.69,15,,
4097,6.5,4.36,10,,
3957,3.8,2.71,,5,
4345,2.2,2.28,,4,
3775,3.2,2.4,,5,
4333,5.2,2.2,,5,
3812,3.4,2.47,,5,
3513,7,2.62,14,,
4240,3.2,2.58,,3,
3722,5.3,2.48,,5,
3744,4.9,2.5,,4,
4371,5.5,2.5,,5,
3506,6,4.27,22,,
4099,5.2,3.68,8,,
3756,5.1,2.66,,5,
3745,4.4,2.64,,5,
3796,2.7,3.06,,5,
3683,13.6,5.25,13,,
3883,4,2.31,,5,
3381,2.2,2.42,,2,
3524,4.7,2.67,12,,
4018,3.3,3.66,6,,
3885,4.6,3.62,,5,
4316,4.1,2.28,,4,
3732,3.9,2.97,,5,
4100,7.8,4.02,10,,
4369,5.1,3.15,,5,
3953,3.6,2.63,,5,
3508,11.8,5.72,11,,
4276,5.2,2.83,,4,
3129,5.9,5.53,9,,
3127,5.5,4.67,7,,
4362,3.9,2.37,,4,
4241,1.4,2.25,,5,
3752,2.5,2.92,,5,
3739,2.7,2.13,,3,
3617,8.6,5.16,10,,
3592,13.4,3.77,25,,
4109,6.5,4.36,12,,
3821,4.4,2.8,,4,
4205,3.4,2.16,,4,
3828,4.7,2.49,,5,
3541,7,3.78,11,,
3879,3.9,2.41,,4,
3042,4.9,4.09,7,,
4017,5.6,4.97,9,,
3139,4.8,3.53,6,,
4085,10.5,5.73,13,,
3543,5.7,4.92,11,,
4081,9.5,4.16,13,,
4404,4,2.64,,5,
3566,5.7,4.67,26,,
3839,4.3,3.12,,5,
3838,2.1,2.84,,5,
3787,4.5,2.52,,5,
3700,17.4,5.94,14,,
3522,18.7,4.61,12,,
4402,2.5,1.97,,5,
3861,4.8,2.91,,5,
4144,8.6,4.12,18,,
4233,4.2,3.56,,5,
3244,2.9,1.99,,4,
4254,11,4.93,12,,
4235,4.2,2.04,,5,
3855,7.6,3.41,,5,
4001,11.8,5.16,17,,
4031,8.8,5.82,7,,
4071,11.4,4.14,16,,
3385,4,3.04,,3,
3793,5.9,2.85,,5,
3502,9.7,4.93,11,,
3780,7.1,2.6,,5,
3646,7,4.56,10,,
3643,6.8,3.12,5,,
3525,7.1,4.26,8,,
3048,6,5.84,8,,
3574,10.8,3.5,10,,
3183,4.5,4.81,7,,
3151,10.9,5.02,19,,
3191,2.4,4.31,8,,
4274,3.3,2.82,,5,
3795,4.8,2.34,,5,
3612,13.3,4.9,14,,
3827,6.8,3.11,,5,
3539,8.3,4.55,9,,
3918,4.4,2.53,,5,
4036,5.9,4.39,11,,
3536,10.1,4.88,16,,
4429,3.3,2.8,,5,
3615,11.2,3.68,11,,
3593,5.3,5.76,13,,
3006,6,4.78,6,,
4268,4.4,2.92,,5,
3271,2.5,2.37,,2,
3186,8.8,5.45,14,,
3645,6.6,3.5,11,,
4123,6.4,4.73,8,,
3894,4.6,2.62,,5,
3616,9.9,4.51,19,,
3840,8.5,2.27,,5,
3278,3.1,1.79,,2,
3833,6.1,2.11,,5,
3550,7.2,4.36,20,,
3181,10.5,5.57,15,,
3562,6.3,4.66,22,,
3570,10.9,3.65,24,,
4209,2.7,2.9,,4,
4086,5,5.84,11,,
3771,5.3,2.3,,5,
3697,14.9,4.75,10,,
3268,2.1,1.5,,2,
3386,3,2.36,,3,
3708,14.8,4.96,11,,
3709,9,4.25,16,,
3803,5.9,2.27,,5,
4242,4.7,2.2,,4,
4325,3.4,2.22,,4,
3781,5.7,2.69,,5,
4008,6.5,4.44,10,,
3992,6,5.65,12,,
3554,8.4,4.59,14,,
3018,5.5,4,8,,
4256,4.3,2.96,,5,
3991,6.7,3.99,21,,
4230,4.2,2.35,,4,
3701,12,6.12,11,,
3776,3.4,2,,5,
3273,4.4,2.09,,1,
4044,16.6,6.34,15,,
3197,29.3,4.67,21,,
3569,11.9,5.64,16,,
3932,2.7,2.63,,4,
3027,8.9,4.71,14,,
3011,5.6,4.52,15,,
4175,5.5,4.95,20,,
4237,4.3,2.27,,4,
3044,4.7,3.34,7,,
3045,9.8,5.37,6,,
4170,3.5,3.73,10,,
3704,6.6,4.91,18,,
3764,4.9,1.91,,5,
3382,1.7,2.22,,4,
4322,3.5,2.06,,5,
4408,2,2.31,,4,
3650,5.8,3.39,8,,
4265,6,2.58,,5,
4066,7.4,3.92,22,,
4332,6.2,2.03,,5,
3974,10.3,5.72,13,,
3001,6.7,4.05,9,,
3077,5.7,4.61,9,,
3611,9.5,3.98,12,,
3109,4.8,4.7,7,,
4096,10.4,4.38,10,,
4091,6.2,3.99,8,,
3488,3.5,3.88,6,,
4435,3.3,2.65,,5,
3364,5.5,2.86,,4,
3356,4,1.98,,2,
3813,4.8,1.82,,4,
3915,5.8,2.74,,5,
3958,6.2,2.69,,4,
4030,7.2,4.4,11,,
4149,10.4,5.69,12,,
4246,6.2,2.6,,5,
3711,24.7,6.21,11,,
4004,19.2,4.29,10,,
4157,7.8,6,8,,
4140,13,4.34,10,,
3589,10.7,5.65,14,,
4284,7.5,2.82,,4,
3603,7.5,5.19,15,,
3542,9.7,3.66,10,,
3255,4.2,2.21,,3,
4327,5.9,2.16,,4,
3038,9.1,4.65,12,,
3481,5.7,2.88,9,,
4229,5,2.07,,1,
4166,12.4,4.58,10,,
4088,5.5,4.91,9,,
3684,15,5.52,13,,
4281,7.1,2.45,,4,
3390,5.6,2.59,,4,
3620,4.8,4.06,13,,
3140,4.2,3.39,6,,
3087,5.6,3.2,9,,fixed manually
3594,7.9,4.51,8,,
3844,6.6,3.22,,5,
