seedling_id,plate,row,column,seedling_sp,soil_type
3765,219027,C,10,P,Q
3765,219027,D,10,P,Q
3765,219027,E,10,P,Q
3765,219027,F,10,P,Q
3765,219027,G,10,P,Q
3765,219027,H,10,P,Q
3864,219027,A,11,P,Q
3864,219027,B,11,P,Q
3864,219027,C,11,P,Q
3864,219027,D,11,P,Q
3864,219027,E,11,P,Q
3864,219027,F,11,P,Q
3864,219027,G,11,P,Q
3864,219027,H,11,P,Q
3322,219028,A,1,P,C
3322,219028,B,1,P,C
3322,219028,D,1,P,C
3322,219028,E,1,P,C
3322,219028,F,1,P,C
3322,219028,G,1,P,C
3322,219028,H,1,P,C
3311,219028,A,2,P,C
3311,219028,B,2,P,C
3311,219028,C,2,P,C
3311,219028,D,2,P,C
3311,219028,E,2,P,C
3311,219028,F,2,P,C
3311,219028,G,2,P,C
3311,219028,H,2,P,C
3318,219028,A,3,P,C
3318,219028,B,3,P,C
3318,219028,C,3,P,C
3318,219028,D,3,P,C
3318,219028,E,3,P,C
3318,219028,F,3,P,C
3318,219028,G,3,P,C
3318,219028,H,3,P,C
3319,219028,A,4,P,C
3319,219028,B,4,P,C
3319,219028,C,4,P,C
3319,219028,D,4,P,C
3319,219028,E,4,P,C
3319,219028,F,4,P,C
3319,219028,G,4,P,C
3319,219028,H,4,P,C
3314,219028,A,5,P,C
3314,219028,B,5,P,C
3314,219028,C,5,P,C
3314,219028,D,5,P,C
3314,219028,E,5,P,C
3314,219028,F,5,P,C
3314,219028,G,5,P,C
3314,219028,H,5,P,C
3290,219028,A,6,P,C
3290,219028,B,6,P,C
3290,219028,C,6,P,C
3290,219028,D,6,P,C
3290,219028,E,6,P,C
3290,219028,F,6,P,C
3290,219028,G,6,P,C
3290,219028,H,6,P,C
3309,219028,A,7,P,C
3309,219028,B,7,P,C
3309,219028,C,7,P,C
3309,219028,D,7,P,C
3309,219028,E,7,P,C
3309,219028,F,7,P,C
3309,219028,G,7,P,C
3309,219028,H,7,P,C
3293,219028,A,8,P,C
3293,219028,B,8,P,C
3293,219028,C,8,P,C
3293,219028,D,8,P,C
3293,219028,E,8,P,C
3293,219028,F,8,P,C
3293,219028,G,8,P,C
3293,219028,H,8,P,C
3303,219028,A,9,P,C
3303,219028,B,9,P,C
3303,219028,C,9,P,C
3303,219028,D,9,P,C
3303,219028,E,9,P,C
3303,219028,F,9,P,C
3303,219028,G,9,P,C
3303,219028,H,9,P,C
3300,219028,A,10,P,C
3300,219028,B,10,P,C
3300,219028,C,10,P,C
3300,219028,D,10,P,C
3300,219028,E,10,P,C
3300,219028,F,10,P,C
3300,219028,G,10,P,C
3300,219028,H,10,P,C
