seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,notes,date,branching,alive,seedling_sp,soil_type,neighbor,neighb_sp,neighb_st,pot,treatment,neighb_alive
4333,3.7,1.95,NA,5,NA,2021-03-01,NA,1,P,P,3775,P,Q,211066,C,1
4334,1.9,1.89,NA,5,NA,2021-03-01,NA,1,P,P,3680,Q,Q,211065,C,1
4336,2.7,2.31,NA,5,NA,2021-03-01,NA,1,P,P,3414,P,C,211160,C,0
4341,3.9,1.88,NA,5,NA,2021-03-01,NA,1,P,P,4391,P,P,211077,D,1
4353,4.5,2.21,NA,5,NA,2021-03-01,NA,1,P,P,4387,P,P,211297,D,0
4361,3.8,1.72,NA,5,NA,2021-03-01,NA,1,P,P,3847,P,Q,211292,D,0
4362,3.1,2,NA,5,NA,2021-03-01,NA,1,P,P,4241,P,P,211116,D,1
4368,2.5,1.8,NA,5,NA,2021-03-01,NA,1,P,P,4384,P,P,211052,C,1
4369,2.8,2.34,NA,5,NA,2021-03-01,NA,1,P,P,3953,P,Q,211170,D,1
4370,5.2,1.97,NA,5,NA,2021-03-01,NA,1,P,P,4067,Q,P,211225,D,1
4371,5.3,1.81,NA,5,NA,2021-03-01,NA,1,P,P,3744,P,Q,211100,D,1
4373,3.5,1.9,NA,5,NA,2021-03-01,NA,1,P,P,3323,P,C,211296,D,1
4379,3.2,1.82,NA,5,NA,2021-03-01,NA,1,P,P,4063,Q,P,211224,C,1
4380,3.8,2.58,NA,5,NA,2021-03-01,NA,1,P,P,4105,Q,P,211301,C,1
4386,4.5,2.26,NA,5,NA,2021-03-01,NA,1,P,P,3597,Q,Q,211258,D,0
4390,3.2,1.97,NA,5,NA,2021-03-01,NA,1,P,P,3805,P,Q,211002,C,1
4391,4.4,1.98,NA,5,NA,2021-03-01,NA,1,P,P,4341,P,P,211077,D,1
4394,3,2.13,NA,5,NA,2021-03-01,NA,1,P,P,4043,Q,P,211200,C,0
4396,4,2.61,NA,5,NA,2021-03-01,NA,1,P,P,3377,P,C,211280,C,1
4398,4,2.39,NA,5,NA,2021-03-01,NA,1,P,P,4266,P,P,211043,D,0
4400,2.6,1.69,NA,5,NA,2021-03-01,NA,1,P,P,3260,P,C,211124,C,0
4401,3,2.19,NA,5,NA,2021-03-01,NA,1,P,P,3804,P,Q,211278,D,1
4402,3.9,2.15,NA,5,NA,2021-03-01,NA,1,P,P,3522,Q,Q,211167,D,0
4403,3.1,2.11,NA,5,NA,2021-03-01,NA,1,P,P,3591,Q,Q,211248,D,1
4404,2.8,2.07,NA,5,NA,2021-03-01,NA,1,P,P,3566,Q,Q,211181,D,1
4405,4.4,2.3,NA,5,NA,2021-03-01,NA,1,P,P,4318,P,P,211035,C,1
4407,4.5,2.2,NA,5,NA,2021-03-01,NA,1,P,P,3383,P,C,211245,C,1
4408,2.9,2.13,NA,5,NA,2021-03-01,NA,1,P,P,4322,P,P,211173,C,1
4410,3.8,2.38,NA,5,NA,2021-03-01,NA,1,P,P,3261,P,C,211149,C,1
4412,3.2,1.95,NA,5,NA,2021-03-01,NA,1,P,P,3426,P,C,211299,C,0
4413,4,2.7,NA,5,NA,2021-03-01,NA,1,P,P,3530,Q,Q,211141,C,1
4415,3.8,2.47,NA,5,NA,2021-03-01,NA,1,P,P,4328,P,P,211251,D,0
4416,2.6,1.85,NA,5,NA,2021-03-01,NA,1,P,P,3582,Q,Q,211230,D,1
4422,4.5,2.32,NA,5,NA,2021-03-01,NA,1,P,P,3172,Q,C,211298,C,1
4424,4,2.03,NA,5,NA,2021-03-01,NA,1,P,P,3998,Q,P,211314,D,0
4426,3.6,2.01,NA,5,NA,2021-03-01,NA,1,P,P,3665,Q,Q,211183,C,1
4429,3.7,2.29,NA,5,NA,2021-03-01,NA,1,P,P,3615,Q,Q,211317,D,1
4436,4.4,2.28,NA,5,NA,2021-03-01,NA,1,P,P,3361,P,C,211313,D,0
3241,3.1,2.14,NA,4,NA,2021-03-01,NA,1,P,C,4251,P,P,211135,D,1
3245,2,1.89,NA,4,NA,2021-03-01,NA,1,P,C,3933,P,Q,211097,C,1
3722,4.4,2.04,NA,4,NA,2021-03-01,NA,1,P,Q,4240,P,P,211239,D,1
3727,3.4,2.01,NA,4,NA,2021-03-01,NA,1,P,Q,3328,P,C,211235,NA,NA
3734,4.7,2.62,NA,4,NA,2021-03-01,NA,1,P,Q,4335,P,P,211108,C,0
3737,4.5,1.83,NA,4,NA,2021-03-01,NA,1,P,Q,4122,Q,P,211328,D,0
3757,3.1,1.92,NA,4,NA,2021-03-01,NA,1,P,Q,4271,P,P,211133,D,0
3764,4.1,2.07,NA,4,NA,2021-03-01,NA,1,P,Q,3382,P,C,211334,D,1
3766,3.3,2.17,NA,4,NA,2021-03-01,NA,1,P,Q,3731,P,Q,211321,D,1
3767,4.5,2.05,NA,4,NA,2021-03-01,NA,1,P,Q,3577,Q,Q,211327,D,1
3771,4.5,2.24,NA,4,NA,2021-03-01,NA,1,P,Q,3697,Q,Q,211085,D,1
3774,2.3,1.68,NA,4,NA,2021-03-01,NA,1,P,Q,3965,Q,P,211092,D,1
3775,3.7,2.13,NA,4,NA,2021-03-01,NA,1,P,Q,4333,P,P,211066,C,1
3778,4,2.11,NA,4,NA,2021-03-01,NA,1,P,Q,4002,Q,P,211063,C,1
3780,5.1,2.13,NA,4,NA,2021-03-01,NA,1,P,Q,3502,Q,Q,211044,D,1
3789,3.7,2.03,NA,4,NA,2021-03-01,NA,1,P,Q,3779,P,Q,211016,D,1
3793,3.8,1.82,NA,4,NA,2021-03-01,NA,1,P,Q,3385,P,C,211017,D,1
3801,4,1.84,NA,4,NA,2021-03-01,NA,1,P,Q,3275,P,C,211059,D,1
3804,3.9,1.91,NA,4,NA,2021-03-01,NA,1,P,Q,4401,P,P,211278,D,1
3808,3.4,1.79,NA,4,NA,2021-03-01,NA,1,P,Q,4222,P,P,211277,C,1
3810,2.1,1.8,NA,4,NA,2021-03-01,NA,1,P,Q,3630,Q,Q,211087,C,1
3812,3.5,1.86,NA,4,NA,2021-03-01,NA,1,P,Q,3513,Q,Q,211238,C,0
3817,3.2,2.05,NA,4,NA,2021-03-01,NA,1,P,Q,3849,P,Q,211151,C,1
3821,3.2,2.21,NA,4,NA,2021-03-01,NA,1,P,Q,4109,Q,P,211252,D,1
3824,3.4,1.85,NA,4,NA,2021-03-01,NA,1,P,Q,4134,Q,P,211260,C,1
3826,3.5,2.04,NA,4,NA,2021-03-01,NA,1,P,Q,3557,Q,Q,211171,D,0
3838,3,2.45,NA,4,NA,2021-03-01,NA,1,P,Q,3839,P,Q,211139,C,1
3859,2.4,1.72,NA,4,NA,2021-03-01,NA,1,P,Q,4046,Q,P,211155,D,1
3861,3.8,1.97,NA,4,NA,2021-03-01,NA,1,P,Q,4144,Q,P,211168,C,1
3862,3.5,1.79,NA,4,NA,2021-03-01,NA,1,P,Q,3415,P,C,211158,C,0
3876,3,1.93,NA,4,NA,2021-03-01,NA,1,P,Q,3586,Q,Q,211254,D,1
3879,3.9,1.79,NA,4,NA,2021-03-01,NA,1,P,Q,3541,Q,Q,211221,D,1
3883,3.8,2.14,NA,4,NA,2021-03-01,NA,1,P,Q,3381,P,C,211335,C,1
3900,3.3,2.22,NA,4,NA,2021-03-01,NA,1,P,Q,3434,P,C,211346,D,0
3917,2.2,1.66,NA,4,NA,2021-03-01,NA,1,P,Q,3567,Q,Q,211146,D,1
3918,4.1,2.19,NA,4,NA,2021-03-01,NA,1,P,Q,3539,Q,Q,211122,C,1
3932,2.9,2.38,NA,4,NA,2021-03-01,NA,1,P,Q,3569,Q,Q,211068,C,1
3943,3.2,1.66,NA,4,NA,2021-03-01,NA,1,P,Q,4192,Q,P,211093,C,1
3953,2.6,2.05,NA,4,NA,2021-03-01,NA,1,P,Q,4369,P,P,211170,D,0
4227,2.7,1.8,NA,4,NA,2021-03-01,NA,1,P,P,4399,P,P,211279,C,1
4228,3,1.71,NA,4,NA,2021-03-01,NA,1,P,P,3532,Q,Q,211268,C,0
4241,2.5,2.03,NA,4,NA,2021-03-01,NA,1,P,P,4362,P,P,211116,D,1
4249,4.6,2.31,NA,4,NA,2021-03-01,NA,1,P,P,3497,Q,Q,211137,D,0
4253,3.9,2.41,NA,4,NA,2021-03-01,NA,1,P,P,3254,P,C,211188,C,1
4254,3.4,2.12,NA,4,NA,2021-03-01,NA,1,P,P,3725,P,Q,211283,C,1
4256,4.8,2.14,NA,4,NA,2021-03-01,NA,1,P,P,3991,Q,P,211001,D,1
4261,2.3,2.03,NA,4,NA,2021-03-01,NA,1,P,P,3954,P,Q,211089,D,0
4268,2,2,NA,4,NA,2021-03-01,NA,1,P,P,3271,P,C,211028,D,0
4271,3.6,1.77,NA,4,NA,2021-03-01,NA,1,P,P,3757,P,Q,211133,D,0
4273,3.1,1.59,NA,4,NA,2021-03-01,NA,1,P,P,3423,P,C,211157,D,1
4276,3.9,2.04,NA,4,NA,2021-03-01,NA,1,P,P,3508,Q,Q,211109,C,1
4277,3,2.15,NA,4,NA,2021-03-01,NA,1,P,P,3901,P,Q,211187,D,1
4279,3.2,2.43,NA,4,NA,2021-03-01,NA,1,P,P,3728,P,Q,211090,C,1
4280,3.7,2.32,NA,4,NA,2021-03-01,NA,1,P,P,4079,Q,P,211256,C,1
4282,5.7,2.09,NA,4,NA,2021-03-01,NA,1,P,P,4132,Q,P,211161,C,1
4286,3.7,2.14,NA,4,NA,2021-03-01,NA,1,P,P,3997,Q,P,211164,D,1
4289,3.2,2.46,NA,4,NA,2021-03-01,NA,1,P,P,3337,P,C,211272,D,1
4291,3.7,1.73,NA,4,NA,2021-03-01,NA,1,P,P,4290,P,P,211270,C,1
4305,4.1,2.14,NA,4,NA,2021-03-01,NA,1,P,P,4310,P,P,211276,D,0
4308,3.5,1.87,NA,4,NA,2021-03-01,NA,1,P,P,4011,Q,P,211178,C,1
4310,4.3,1.6,NA,4,NA,2021-03-01,NA,1,P,P,4305,P,P,211276,D,1
4327,3.4,1.91,NA,4,NA,2021-03-01,NA,1,P,P,3255,P,C,211121,D,1
4329,2.9,1.87,NA,4,NA,2021-03-01,NA,1,P,P,3576,Q,Q,211234,C,1
4335,2.7,1.94,NA,4,NA,2021-03-01,NA,1,P,P,3734,P,Q,211108,C,1
4343,3.6,1.78,NA,4,NA,2021-03-01,NA,1,P,P,3583,Q,Q,211156,D,1
4344,3.5,2.23,NA,4,NA,2021-03-01,NA,1,P,P,3265,P,C,211208,D,0
4345,2,2.37,NA,4,NA,2021-03-01,NA,1,P,P,3957,P,Q,211117,D,1
4367,3,2.46,NA,4,NA,2021-03-01,NA,1,P,P,3614,Q,Q,211320,C,1
4384,3.2,2.19,NA,4,NA,2021-03-01,NA,1,P,P,4368,P,P,211052,C,1
4387,2.6,1.65,NA,4,NA,2021-03-01,NA,1,P,P,4353,P,P,211297,D,0
4388,3.9,2.44,NA,4,NA,2021-03-01,NA,1,P,P,4392,P,P,211095,C,1
4397,3.6,1.88,NA,4,NA,2021-03-01,NA,1,P,P,3834,P,Q,211217,C,0
4399,4.8,1.85,NA,4,NA,2021-03-01,NA,1,P,P,4227,P,P,211279,C,1
4417,2.9,1.63,NA,4,NA,2021-03-01,NA,1,P,P,3986,Q,P,211056,D,1
4419,4.6,1.83,NA,4,NA,2021-03-01,NA,1,P,P,4047,Q,P,211197,C,1
4435,3.1,1.71,NA,4,NA,2021-03-01,NA,1,P,P,3364,P,C,211319,C,1
3261,3.5,2.27,NA,3,NA,2021-03-01,NA,1,P,C,4410,P,P,211149,C,1
3275,2.7,2.01,NA,3,NA,2021-03-01,NA,1,P,C,3801,P,Q,211059,D,1
3334,3.1,2.06,NA,3,NA,2021-03-01,NA,1,P,C,3331,P,C,211214,D,0
3337,2.2,1.77,NA,3,NA,2021-03-01,NA,1,P,C,4289,P,P,211272,D,1
3348,1.7,1.85,NA,3,NA,2021-03-01,NA,1,P,C,3359,P,C,211311,C,0
3356,2.2,1.69,NA,3,NA,2021-03-01,NA,1,P,C,3813,P,Q,211281,C,1
3361,2.9,2.32,NA,3,NA,2021-03-01,NA,1,P,C,4436,P,P,211313,D,1
3364,3.9,2.47,NA,3,NA,2021-03-01,NA,1,P,C,4435,P,P,211319,C,1
3386,3.1,1.87,NA,3,NA,2021-03-01,NA,1,P,C,3268,P,C,211033,C,0
3387,3.5,1.9,NA,3,NA,2021-03-01,NA,1,P,C,4307,P,P,211247,D,1
3433,3.5,2.28,NA,3,NA,2021-03-01,NA,1,P,C,3474,P,C,211185,D,0
3744,3.6,1.6,NA,3,NA,2021-03-01,NA,1,P,Q,4371,P,P,211100,D,1
3760,4.1,1.9,NA,3,NA,2021-03-01,NA,1,P,Q,4026,Q,P,211273,D,1
3772,4.5,1.84,NA,3,NA,2021-03-01,NA,1,P,Q,3982,Q,P,211050,C,1
3805,4.3,2.13,NA,3,NA,2021-03-01,NA,1,P,Q,4390,P,P,211002,C,1
3813,3.9,1.96,NA,3,NA,2021-03-01,NA,1,P,Q,3356,P,C,211281,C,1
3867,1.7,1.59,NA,3,NA,2021-03-01,NA,1,P,Q,3715,Q,Q,211023,NA,NA
3908,3,2.05,NA,3,NA,2021-03-01,NA,1,P,Q,3324,P,C,211295,NA,NA
3958,3.2,1.91,NA,3,NA,2021-03-01,NA,1,P,Q,3915,P,Q,211039,C,1
3959,2.3,1.98,NA,3,NA,2021-03-01,NA,1,P,Q,4183,Q,P,211038,C,1
4255,4,2.19,NA,3,NA,2021-03-01,NA,1,P,P,3584,Q,Q,211255,C,1
4326,3.4,2.03,NA,3,NA,2021-03-01,NA,1,P,P,4032,Q,P,211285,D,1
4328,3.8,1,NA,3,NA,2021-03-01,NA,1,P,P,4415,P,P,211251,D,1
4363,3.1,1.55,NA,3,NA,2021-03-01,NA,1,P,P,3877,P,Q,211290,NA,NA
4378,1.4,2,NA,3,NA,2021-03-01,NA,1,P,P,4089,Q,P,211323,C,1
4392,2.9,2.12,NA,3,NA,2021-03-01,NA,1,P,P,4388,P,P,211095,C,0
3242,3,2.04,NA,2,NA,2021-03-01,NA,1,P,C,3243,P,C,211105,C,0
3250,3.9,2.18,NA,2,NA,2021-03-01,NA,1,P,C,3438,P,C,211191,C,0
3252,3.9,2.01,NA,2,NA,2021-03-01,NA,1,P,C,3738,P,Q,211143,C,0
