seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,branching,notes,date
4388,6.2,2.8,,4,2.5,,2/4/22
4392,3.9,3.15,,5,7.5,,2/4/22
3096,5.5,2.51,8,,0,,2/4/22
3573,12,3.46,8,,3,,2/4/22
4136,10,4.29,8,,0,,2/4/22
3755,7.6,3.2,,4,2,,2/4/22
4133,11.3,4.51,11,,0,,2/4/22
3850,4.1,2,,4,2,,2/4/22
3622,11.8,6.4,7,,0,,2/4/22
4010,5.7,2.94,7,,2.2,,2/4/22
4373,3,1.45,,4,1,,2/4/22
3323,3.8,1.9,,3,0,,2/4/22
4196,5.1,4.01,9,,0,,2/4/22
4167,7.1,2.76,7,,0,,2/4/22
3126,4.5,3.2,4,,0,,2/4/22
3111,13.5,5.48,11,,0,,2/4/22
4390,5.6,2.54,,4,1.5,,2/4/22
3805,6.5,3.18,,4,2,,2/4/22
3980,11.5,4.42,8,,0,,2/4/22
3013,10.5,3.71,8,,0,,2/4/22
3778,6,2.92,,4,3.5,,2/4/22
4002,11.8,4.92,16,,7.5,,2/4/22
3509,8.5,4,7,,0,,2/4/22
3125,5.2,3.63,4,,0,,2/4/22
3033,7,4.32,6,,0,,2/4/22
4155,10.1,4.32,9,,0,,2/4/22
3275,4.9,2.44,,5,1,,2/4/22
3801,4.9,2.19,,5,2.5,,2/4/22
3274,4.8,2.08,,2,0,,2/4/22
3259,5.5,2.85,,2,0,,2/4/22
4266,6.4,2.84,,5,11,,2/4/22
4398,9,3.11,,5,18,,2/4/22
4269,5.2,2.9,,5,9,,2/4/22
3985,11.8,4.64,12,,3,,2/4/22
3946,7.7,3.09,,5,0,,2/4/22
4185,7.4,3.95,10,,0,,2/4/22
3782,6,3.39,,5,0,,2/4/22
3628,5.2,4.3,8,,0,,2/4/22
4261,3.5,3.11,,5,3,,2/4/22
3954,4.9,2.17,,3,1.45,,2/4/22
3400,4,2.09,,3,0,,2/4/22
3392,3.5,2.43,,2,0,,2/4/22
4281,8.6,2.86,,5,2.5,,2/4/22
3390,6,2.26,,4,2.3,,2/4/22
3684,15.1,5.66,12,,1,,2/4/22
4088,4.7,3.61,8,,0,,2/4/22
3943,4.2,2.69,,4,2.2,,2/4/22
4192,3.6,4.65,5,,0,,2/4/22
3760,5.3,2.07,,3,6.8,,2/4/22
4026,4.8,2.83,7,,0,,2/4/22
4435,2.5,1.69,,4,1.5,,2/4/22
3364,5.2,2.35,,4,1.7,,2/4/22
3813,4.5,1.7,,5,0,,2/4/22
3356,3,1.63,,4,1,,2/4/22
3481,5.5,2.64,3,,0,,2/4/22
3038,7.6,4.3,12,,0,,2/4/22
4341,7.4,2.55,,4,5,,2/4/22
4391,6,2.15,,4,2,,2/4/22
4005,10.2,4.44,7,,1,,2/4/22
3504,17,4.85,8,,0,,2/4/22
3002,6.2,4.81,4,,0,,2/4/22
3005,7,3.67,7,,0,,2/4/22
4213,6.6,3.04,,5,9,,2/4/22
4187,5.9,4.18,11,,1,,2/4/22
4319,5.1,2.1,,5,2,,2/4/22
3495,7.4,4.03,9,,0,,2/4/22
4317,9,2.6,,4,2.5,,2/4/22
3638,8.7,4.63,8,,0,,2/4/22
3026,8,4.3,6,,0,,2/4/22
3654,17,4.64,25,,0,,2/4/22
4183,11.5,4.5,14,,2.54,,2/4/22
3959,6.3,2.32,,4,3.5,,2/4/22
3035,3.9,3.78,8,,0,,2/3/22
3718,9.6,4.86,9,,2,,2/3/22
3043,4.5,3.77,8,,0,,2/3/22
3688,3,3.96,4,,0,,2/3/22
4151,5.6,2.78,10,,2.5,,2/3/22
4147,5.5,6.43,13,,7,,2/3/22
3058,5,2.81,3,,0,,2/3/22
4148,7.8,3.52,10,,0,,2/3/22
3916,5.4,2.57,,5,1,,2/3/22
4238,3.5,2.88,,5,5.5,,2/3/22
4334,5.1,2.92,,5,0,,2/3/22
3680,5.1,5.41,6,,0,,2/3/22
3711,22.5,5.7,8,,0,,2/3/22
4246,5.4,2.87,,5,1,,2/3/22
4030,4.8,4.82,9,,4.5,,2/3/22
4149,8.7,5.83,10,,0,,2/3/22
4290,4.5,2.38,,5,2.5,,2/3/22
4291,4,2.07,,5,0,,2/3/22
3281,4,2.06,,2,0,,2/3/22
3279,2.1,2.46,,1,0,,2/3/22
4082,6.8,4.09,10,,0.5,,2/3/22
3769,5.4,3.42,,5,5.5,,2/3/22
3915,5.5,2.7,,5,5,,2/3/22
3958,5.7,2.52,,5,2,,2/3/22
4166,12.3,5.5,10,,0,,2/3/22
4229,3.3,1.53,,0,0,dead,2/3/22
3087,5,2.98,9,,0,fixed data from sheet,2/3/22
3594,7.5,4.31,5,,0,,2/3/22
3620,11.7,4.32,4,,0,,2/3/22
3140,3.4,3.47,4,,0,,2/3/22
3824,4.8,2.23,,3,1.5,,2/2/22
4134,20.9,5.72,12,,0,,2/2/22
3695,10.5,6.35,8,,6,,2/2/22
3714,12.1,4.5,9,,0,,2/2/22
3798,5.9,3.02,,4,2.5,,2/3/22
4278,3.6,3.13,,4,4,,2/3/22
4318,6.7,3.21,,5,0,,2/3/22
4405,5,3.58,,4,3.5,,2/3/22
3605,9.7,4.13,13,,0,,2/3/22
4037,5.1,4.22,12,,2,,2/3/22
4415,5.6,3.09,,5,3,,2/3/22
4328,4.1,2,,2,2.5,,2/3/22
4407,4.2,2.67,,3,2.5,,2/3/22
3383,3.4,2.11,,4,0,,2/3/22
4083,8,6.38,5,,0,,2/3/22
3110,8.6,4.92,13,,5.5,,2/3/22
3552,9.6,5.16,16,,1,,2/3/22
4070,4.5,4.38,5,,0,,2/3/22
3114,4.9,6.9,8,,0,,2/3/22
4159,4.1,5.95,2,,0,,2/3/22
3584,11.3,5.21,11,,0,,2/3/22
4255,2.9,4.26,,3,1.5,,2/3/22
4079,14.4,5.63,17,,0,,2/3/22
4280,6.8,2.86,,4,4,,2/3/22
4162,7,5.01,10,,0,,2/3/22
4320,3.9,3.56,,4,4,,2/3/22
3008,7.5,5.52,11,,0,,2/3/22
4195,9,4.28,24,,47.5,,2/3/22
3963,4.5,3.62,0,,0,dead ?,2/3/22
3696,20.4,5.85,9,,0,,2/3/22
3876,4,2.4,,3,4,,2/3/22
3586,23.3,6.47,11,,0,,2/3/22
3132,11.5,4.36,13,,0,,2/3/22
3135,4.9,4.74,11,,3.5,,2/3/22
3188,7,4.94,10,,0,,2/3/22
4034,12.8,5.25,9,,0,,2/3/22
3982,7.9,4.86,9,,0,,2/3/22
3772,4.1,2.98,,4,1.3,,2/3/22
4262,3.9,2.66,,5,3.5,,2/3/22
3264,5.3,3.02,,4,0,,2/3/22
3810,3.1,3.2,,3,2.2,,2/3/22
3630,7,3.96,5,,0,,2/3/22
3532,10.8,4.05,14,,0,,2/3/22
4228,4.5,2.49,,4,1.5,,2/3/22
4315,5,2.55,,4,8,,2/3/22
3890,4.1,3.27,,5,3.8,,2/3/22
4236,NA,NA,,0,NA,dead,2/3/22
4302,8.1,4.29,,5,3.2,,2/3/22
3789,4.1,2.83,,5,2.5,,2/3/22
3779,4.8,3.24,,5,6,,2/3/22
3012,8.4,3.44,4,,0,,2/3/22
4165,6.1,4.82,5,,0,,2/3/22
4025,11.8,4.23,1,,0,,2/3/22
4033,4.8,6.35,8,,0,,2/3/22
4024,2.8,3.13,4,,0,,2/3/22
3544,5.5,3.79,15,,0,,2/3/22
4293,3.7,2.57,,3,2.5,,2/3/22
3272,5.1,2.44,,3,2,,2/3/22
3867,NA,NA,,NA,NA,dead,2/3/22
3715,5.3,5.57,6,,0,,2/3/22
3936,3.6,2.59,,5,9,,2/2/22
3964,7.1,3.74,9,,0,,2/2/22
4021,8,5.08,6,,0,,2/2/22
3590,9.4,4.33,12,,0,,2/2/22
3773,4.4,1.9,,4,2,,2/2/22
3473,4,2.23,,2,0.5,,2/2/22
4139,7,4.38,2,,0,,2/2/22
3007,7.5,4.48,20,,2.5,,2/2/22
4243,4.2,2.77,,2,1,,2/2/22
3836,5.7,3.45,,4,11,,2/2/22
3653,11.9,4.82,12,,0,,2/2/22
4098,6.2,4.24,9,,0,,2/2/22
3398,4.6,2.15,,2,0.5,,2/2/22
3412,5.5,2.67,,2,0.5,,2/2/22
3046,12.5,4.65,9,,0,,2/2/22
3600,9.4,5.65,17,,8.5,,2/2/22
3905,6.7,3.2,,3,4,,2/2/22
3335,5,2.17,,2,2,,2/2/22
3933,4.2,3.14,,3,8,,2/2/22
3245,3.7,2.56,,2,0.5,,2/2/22
4279,5.1,2.54,,1,3,,2/2/22
3728,7.9,3.42,,3,5.5,,2/2/22
4285,5.5,3.38,,4,2,,2/2/22
3284,5.3,2.9,,1,3.5,,2/2/22
4160,5,4.24,7,,0,,2/2/22
3973,6.1,5.66,9,,0,,2/2/22
4386,7.3,3.38,,3,4.5,,2/2/22
3597,14.3,6.37,20,,16.5,,2/2/22
3837,5.2,2.69,,3,4,,2/2/22
3587,20.3,4.98,3,,0,,2/2/22
4324,7.1,2.3,,1,5,,2/2/22
3276,4.5,2.46,,4,4,,2/2/22
4014,5.6,3.61,9,,0,,2/2/22
3000,20,5.39,8,,0,,2/2/22
3118,10,4.01,6,,0,,2/2/22
3136,8.4,4.15,3,,0,,2/2/22
3662,19.8,6.33,12,,0,,2/2/22
3655,10.9,4.69,8,,0,,2/2/22
4333,6.6,3.32,,4,3.5,,2/2/22
3775,6.5,2.95,,4,0.5,,2/2/22
4028,10.4,4.81,12,,0.5,,2/2/22
3955,4.6,2.92,,3,4,,2/2/22
4400,4.5,2.49,,3,4,,2/2/22
3260,5,2.57,,2,2,,2/2/22
4426,5.6,3.01,,4,7,,2/2/22
3665,10.5,4.92,18,,3,,2/2/22
3967,6.9,6.25,8,,0,,2/2/22
3693,8.5,4.72,9,,0,,2/2/22
3799,7.6,3.45,,4,5.5,,2/2/22
3679,5.2,4.55,5,,0,,2/2/22
3270,5.8,3.03,,1,1.5,,2/2/22
3269,4.6,2.27,,2,1,,2/2/22
3785,4.9,2.79,,5,9,,2/2/22
3777,5.5,2.53,,4,4.5,,2/2/22
4000,6.9,4.62,10,,0,,2/2/22
3559,8,3.77,11,,1,,2/2/22
3872,5.9,2.74,,3,6,,2/2/22
3251,4.6,2.34,,2,1,,2/2/22
3734,5.7,2.98,,4,6.5,,2/2/22
4335,5.1,2.67,,3,3.5,,2/2/22
3589,11.4,3.79,13,,2,,2/2/22
4140,13,4.29,5,,0,,2/2/22
4004,19.1,4.55,6,,0,,2/2/22
4157,6.9,5.44,5,,0,,2/2/22
3826,4.3,3.05,,4,5,,2/2/22
3557,7,3.2,9,,6,splits at base,2/2/22
4312,5,2.38,,3,5.5,,2/2/22
3553,8,3.28,9,,6,,2/2/22
3483,6.8,3.52,4,,0,,2/2/22
4061,9.8,4.09,10,,0,,2/2/22
3752,8.5,2.54,,3,1,,2/2/22
3739,4.5,2.19,,3,1.5,,2/2/22
4241,6,2.56,,3,1,,2/2/22
4362,4.8,2.86,,3,3,,2/2/22
3129,6.4,5.05,5,,0,,2/2/22
3127,6.1,4.65,4,,0,,2/2/22
4283,5.5,3.2,,4,4,,2/2/22
3266,4.5,2.71,,2,0.5,,2/2/22
3243,3.9,2.1,,1,0.5,,2/2/22
3242,3.9,2.23,,3,2,,2/2/22
4260,6.1,2.54,,4,4.5,,2/2/22
3494,7.7,3.06,8,,0,,2/2/22
3482,6.4,3.43,6,,0,,2/2/22
4158,5,3.42,5,,0,,2/2/22
3102,10,4.78,8,,0,,2/2/22
3117,6,5.2,8,,0,,2/2/22
4345,4.7,2.89,,4,7,,2/2/22
3957,4.1,3.07,,3,7,,2/2/22
4097,6.4,3.83,11,,5,,2/2/22
3529,11.6,4.91,16,,0,,2/2/22
4001,10.8,5.76,15,,0,,2/2/22
3855,7.5,3.71,,3,3,,2/2/22
3812,4.1,2.11,,3,6.8,,2/2/22
3513,7.1,2.39,12,,6,,2/2/22
4240,5.5,2.63,,2,0,,2/2/22
3722,6,3.18,,3,4,,2/2/22
3744,5,2.42,,3,4,,2/2/22
4371,6,2.84,,3,3,,2/2/22
4099,8.4,3.78,7,,0,,2/2/22
3506,10.2,3.96,20,,5,,2/2/22
3745,4.8,2.57,,3,5.5,,2/2/22
3756,5.8,2.66,,4,4.5,,2/2/22
3381,5.5,2.54,,3,4.5,,2/2/22
3883,5,2.63,,2,2.5,,2/2/22
3524,5.1,2.81,12,,5,splits at base,2/2/22
4018,5.9,3.9,10,,0,,2/2/22
4316,7.7,3.22,,4,3,,2/2/22
3885,5.3,2.28,,3,5,,2/2/22
4100,8,4.18,3,,1.5,,2/2/22
3732,5,3.57,,3,20.5,,2/2/22
3953,6.1,3.15,,3,6.5,,2/2/22
4369,5.5,3.52,,3,7.5,,2/2/22
4276,11.8,2.7,,3,7.5,,2/2/22
3508,11.5,4.83,9,,0,,2/2/22
3255,5.4,2.78,,1,1.5,,2/2/22
4327,5.6,2.52,,4,4,,2/2/22
3844,8.3,3.53,,4,2,,2/2/22
3542,8.8,3.7,10,,0,,2/2/22
3603,8.3,5.14,14,,2,,2/2/22
4284,6.9,3.14,,3,9,,2/2/22
4031,8,4.35,7,,0,,2/2/22
4071,13.3,4.75,15,,0,,2/2/22
3793,6.5,2.71,,4,0,,2/2/22
3385,5.2,3.23,,4,0,,2/2/22
3502,9,5.64,11,,0,,2/2/22
3780,7,3.47,,3,0,,2/2/22
3643,7.5,2.53,5,,0,,2/2/22
3646,9.6,4.17,10,,0,,2/2/22
3525,6.5,3.29,4,,0,,2/2/22
3048,5.6,3.81,8,,0,,2/2/22
3183,12,4.75,14,,0,,2/2/22
3574,9.5,3.43,6,,0,,2/2/22
3151,10.7,5.08,19,,0,,2/2/22
3191,6,4.37,4,,2,,2/2/22
4274,5.4,2.67,,3,2,,2/2/22
3795,8,3.23,,3,0,,2/2/22
3827,8.1,3.65,,5,1.5,,2/2/22
3612,13.5,4.16,13,,0,,2/2/22
3918,4,2.46,,4,1.4,,2/2/22
3539,7.9,4.61,9,,3.5,,2/2/22
3536,11,4.26,16,,0,,2/2/22
4036,5.1,4.18,11,,0,,2/2/22
4429,4.6,2.54,,3,2.7,,2/2/22
3615,10.6,3.53,9,,0,,2/2/22
3006,6.5,4.41,6,,0,,2/2/22
3593,9,4.87,10,,0,,2/2/22
4268,4.3,2.74,,2,4.5,,2/2/22
3271,2.6,1.84,,1,0,,2/2/22
3186,9.6,4.26,9,,0,,2/2/22
3645,9.5,3.24,12,,1,,2/2/22
3617,8.5,6.5,5,,0,,2/2/22
3592,14,3.85,25,,8.5,,2/2/22
4109,7.4,4.63,11,,0,,2/2/22
3821,4.3,2.71,,2,2.5,,2/2/22
3828,5.4,2.67,,3,2.3,,2/2/22
4205,5.5,3.1,,4,3.1,,2/2/22
3541,7.8,3.75,10,,0,,2/2/22
3879,4.5,2.11,,2,4.5,,2/2/22
3042,5,3.44,8,,0,,2/2/22
4017,8.5,5.07,16,,1,,2/2/22
4085,9,6.57,7,,6.8,,2/2/22
3139,4.9,2.95,5,,0,,2/2/22
3543,6.5,3.22,11,,0,,2/2/22
4081,9.4,4.31,12,,0,,2/2/22
3566,12.8,4.58,25,,6.5,,2/2/22
4404,5.2,2.97,,5,0,,2/2/22
3838,6.9,3.48,,4,5.5,,2/2/22
3839,8.5,3.55,,5,3,,2/2/22
3700,20,4.36,8,,0,,2/2/22
3787,4.5,2.78,,5,3.2,,2/2/22
4402,4,2.42,,3,1.5,,2/2/22
3522,21.3,4.75,7,,0,,2/2/22
3683,13.9,5.19,8,,1,,2/2/22
3796,4.9,2.9,,5,0,,2/2/22
3861,5.5,2.79,,3,0,,2/2/22
4144,10,4.4,19,,4,,2/2/22
4233,6.2,2.94,,3,2,,2/2/22
3244,4.5,1.85,,4,0,,2/2/22
4235,4.3,2.15,,4,0,,2/2/22
4054,10.5,4.13,12,,0,,2/2/22
4123,6.8,4.39,5,,0,,2/2/22
3894,5.1,2.85,,2,6,,2/2/22
3616,10.2,4.82,15,,9,,2/2/22
3840,9.7,3.56,,4,9.5,,2/2/22
3278,4,1.76,,3,0,,2/2/22
3833,7,3.09,,5,2.4,,2/2/22
3550,10.1,4.63,19,,4.1,,2/2/22
3181,12.5,5.25,6,,0,,2/2/22
3562,7.7,6.65,28,,10.9,,2/2/22
3570,12,4.08,36,,25.1,,2/2/22
4086,10.7,4.57,10,,0,,2/2/22
4209,4,2.26,,3,0,,2/2/22
3771,6.2,2.74,,2,0,,2/2/22
3697,16,4.93,9,,0,,2/2/22
3386,4.3,1.91,,1,0,,2/2/22
3268,3.4,1.84,,1,0,,2/2/22
3709,10.3,4.18,16,,0,,2/2/22
3708,18.5,4.68,11,,3.5,dead leaves,2/2/22
3803,7.3,2.46,,4,2,,2/2/22
4242,7.9,2.66,,4,3.1,,2/2/22
4325,6.3,2.8,,5,4.5,,2/2/22
3781,6.5,4.03,,5,8,,2/2/22
4008,6.3,8.3,11,,1.1,,2/2/22
3992,6.6,5.9,12,,0,,2/2/22
3554,8.5,4.3,14,,2.7,,2/2/22
3018,5.2,4.1,6,,0,,2/2/22
4256,4.7,2.35,,3,3.5,,2/2/22
3991,9,4.03,21,,2,,2/2/22
3701,13,5.78,14,,0,,2/2/22
4230,7.5,3.01,,4,0,,2/2/22
3273,4.5,2.52,,1,0,,2/2/22
3776,4.2,2.56,,3,3.3,,2/2/22
3197,28,4.74,14,,0,,2/2/22
4044,16.6,7.93,10,,0,,2/2/22
3569,12.5,5.54,15,,5.8,,2/2/22
3932,3.8,2.77,,4,3.1,,2/2/22
3027,8.5,4.51,5,,0,dead leaves,2/2/22
3011,9.5,4.69,9,,3.5,,2/2/22
4237,6.8,2.62,,4,1,,2/2/22
4175,9.6,5.92,20,,3.2,,2/2/22
3045,9.5,4.74,6,,0,,2/2/22
3044,6,6.32,3,,0.5,,2/2/22
4170,4.5,5.07,10,,0.5,,2/2/22
3704,8.3,8.55,15,,3,,2/2/22
3382,2,2.26,,3,0,,2/2/22
3764,5.6,2.03,,4,1.8,,2/2/22
4322,4.9,2.94,,4,3,,2/2/22
4408,5.1,2.38,,4,3.1,,2/2/22
4265,7.5,2.52,,4,1.5,,2/2/22
3650,6.2,2.8,8,,0,,2/2/22
4332,7.2,2.77,,3,5,,2/2/22
4066,8.5,4.9,21,,8,,2/2/22
3001,7,4.17,9,,0,,2/2/22
3974,10,3.91,9,,0,,2/2/22
3077,5.5,3.61,10,,0,,2/2/22
3611,10,3.61,12,,0,,2/2/22
4096,10,2.9,7,,0,,2/2/22
3109,4,4.43,3,,0,,2/2/22
4091,6.1,3.69,8,,0,,2/2/22
3488,4.3,3.35,6,,0,,2/2/22
4227,7.5,2.3,,5,0,,2/7/22
4399,5.4,2.1,,4,2.5,,2/7/22
3489,26,4.6,7,,0,,2/7/22
3511,6.6,3.8,7,,0,,2/7/22
4092,13,5.4,5,,0,,2/7/22
4257,7,2.4,,4,2.6,,2/7/22
3742,3.7,1.9,,4,1,,2/7/22
3724,4.3,2.5,,5,6,,2/7/22
4251,4.5,2.2,,4,4,,2/7/22
3241,3.7,2.1,,2,0,,2/7/22
4258,6.8,2.8,,3,4,,2/7/22
3521,12.8,5.5,16,,0,,2/7/22
3938,5.5,2.3,,4,4.8,,2/7/22
3896,4.8,1.9,,2,3.5,,2/7/22
3567,6.6,3.2,11,,0,,2/7/22
3917,2.8,1.8,,3,2,,2/7/22
3333,3.7,1.4,,1,0,,2/7/22
3325,3.9,1.5,,1,0,,2/7/22
3530,11,3,19,,3.5,,2/7/22
4413,7,2.8,,5,9.5,,2/7/22
3852,4.5,2.2,,4,3.5,,2/7/22
3425,4.3,1.9,,3,4.5,,2/7/22
4041,9.5,4,23,,4,,2/7/22
3107,8.5,5.3,8,,0,,2/7/22
4117,7.7,3.4,20,,1.5,,2/7/22
3843,6.8,2.7,,4,5.5,,2/7/22
4253,4.8,2.4,,3,1,,2/7/22
3254,4,2.1,,2,1.3,,2/7/22
3751,4,1.7,,5,1.2,,2/7/22
3258,4.5,2.5,,3,2,,2/7/22
4344,3.5,2.2,,2,3,,2/7/22
3265,4.1,2.1,,1,0,,2/7/22
4056,6.5,5.8,8,,0,,2/7/22
4029,5.5,4.1,8,,0,,2/7/22
3517,7.7,4.9,8,,0,,2/7/22
4323,7.8,3.3,,5,2,,2/7/22
3518,19.4,6.1,11,,0,,2/7/22
3113,6.3,4.2,8,,0,,2/7/22
4055,8.1,4.6,17,,9.5,,2/7/22
3853,5.5,2.7,,4,4.5,,2/7/22
3862,3.7,2.3,,4,3,,2/7/22
3415,4.7,2,,3,1.5,,2/7/22
3664,11.1,5.1,17,,3,,2/7/22
3120,10.5,4,5,,0.5,,2/7/22
3531,7.4,4,10,,0.5,,2/7/22
4146,12.8,4.5,13,,8,,2/7/22
4419,5.4,2.4,,4,3,,2/7/22
4047,9.5,4.4,10,,0,,2/7/22
3108,6.1,4.4,7,,1,,2/7/22
3119,9.5,4.4,15,,0,,2/7/22
4336,5,2.8,,2,3.5,,2/7/22
3414,4.2,2,,1,0,,2/7/22
3496,11.5,4.4,,4,0,,2/7/22
3505,11.3,4.2,9,,0,,2/7/22
3423,3.8,1.5,,4,0,,2/7/22
4273,3.7,1.7,,4,1,,2/7/22
4027,5.2,4,14,,1.3,,2/7/22
3580,4.8,3.6,6,,0,,2/7/22
4282,5.9,1.9,,4,4.5,,2/7/22
4132,10.2,5.4,10,,0,,2/7/22
4120,17,3.1,14,,0,,2/4/22
4042,11.5,4.2,6,,7,,2/4/22
3358,4.8,1.7,,3,2,,2/4/22
3379,4,2.1,,3,3,,2/4/22
4310,6,1.8,,4,4.5,,2/4/22
4305,4.7,1.9,,4,2.7,,2/4/22
4289,4,2.3,,5,1.8,,2/4/22
3337,4.2,1.8,,5,3,,2/4/22
4353,5,2,,5,1.5,,2/4/22
4387,5.3,1.9,,3,0,,2/4/22
4308,5.7,2.3,,4,4,,2/4/22
4011,7,4.3,21,,6,,2/4/22
4309,3.8,2.3,,4,1,,2/4/22
3783,4.3,2.3,,4,3,,2/4/22
3736,5.5,2.5,,5,3,,2/4/22
3899,3.7,2.3,,5,4.5,,2/4/22
4105,9,4,10,,2.5,,2/4/22
4380,4.5,2.6,,4,3,,2/4/22
3804,4,1.4,,5,1.5,,2/4/22
4401,3.7,2.1,,5,1.5,,2/4/22
4396,7.7,2.6,,5,6.5,,2/7/22
3377,3.9,2.2,,4,1.5,,2/7/22
3629,14.9,5.5,7,,0,,2/7/22
3626,7.7,3.4,9,,4,,2/7/22
3727,5.2,2.4,,4,4,,2/7/22
3328,4.2,2.1,,0,0,dead,2/7/22
4127,22.2,5.8,16,,0,,2/7/22
3880,5.7,2.7,,5,3,,2/7/22
3640,12.1,5.5,20,,4,,2/7/22
3599,9.8,4.9,13,,0,,2/7/22
3817,5.3,2.4,,4,1.5,,2/7/22
3849,5.1,2.9,,5,5.5,,2/7/22
3741,6.5,3.1,,5,6,,2/7/22
3493,11.6,3.3,6,,0,,2/7/22
4330,6,2.8,,4,5.5,,2/7/22
4019,12.5,4,11,,0.5,,2/7/22
3834,6.1,2.7,,4,3,,2/7/22
4397,5.8,2.9,,5,5.5,,2/7/22
4379,5.3,2.9,,3,6,,2/7/22
4063,5.2,7.4,23,,8,,2/7/22
3859,5.1,2.8,,4,2.5,,2/7/22
4046,7.6,3.4,7,,0,,2/7/22
4410,7.8,3.1,,4,4.5,,2/7/22
3261,4.5,2.5,,4,4.5,,2/7/22
3568,18,5,9,,0,,2/7/22
3842,4,3.2,,4,10.5,,2/7/22
4311,5.3,2.9,,5,5,,2/7/22
3327,2.9,2,,1,1,,2/7/22
4221,6.8,3.1,,4,2,,2/7/22
3549,10,4.2,10,,3.1,,2/7/22
4343,6.2,2.1,,4,0,,2/7/22
3583,6.9,4.2,8,,0,,2/7/22
4152,8,3.5,19,,7.5,,2/7/22
3563,5.5,4.9,7,,0,,2/7/22
3757,6.1,2.6,,4,0.5,,2/7/22
4271,5.9,2.2,,4,2.5,,2/7/22
4297,4.6,3.1,,5,1.5,,2/7/22
3128,4.5,4.8,8,,0,,2/7/22
3845,5.7,3.3,,5,11,,2/7/22
