seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,add_height,notes,date
3570,14.3,4.4,68,,0,,4/12/2022
3562,8.5,5.5,46,,0,,4/12/2022
4429,8.8,2.4,,4,4,,4/12/2022
3615,11.5,3.2,9,,0,,4/12/2022
4170,5.5,3.7,15,,0,,4/12/2022
3704,7.6,4.5,14,,0,,4/12/2022
3955,8.7,2,,5,5,,4/12/2022
4028,10.5,4.6,12,,0,,4/12/2022
3601,10.2,3.5,14,,0,,4/12/2022
3141,17.7,4.1,4,,0,,4/12/2022
3767,8.2,2.8,,4,4,,4/12/2022
3577,6.7,4.7,7,,0,,4/12/2022
3804,8.2,1.7,,5,5,,4/12/2022
4401,6,2.1,,5,5,,4/12/2022
3005,7.7,3.7,7,,0,,4/12/2022
3002,7.5,4.9,8,,0,,4/12/2022
3128,7.6,3.8,13,,0,,4/12/2022
4297,8.1,2.5,,5,5,,4/12/2022
3274,5.4,1.5,,2,2,,4/12/2022
3259,5.9,2.1,,2,2,,4/12/2022
3986,12.4,4.6,48,,0,,4/12/2022
4002,12.3,6.2,16,,19.8,,4/12/2022
3508,11.6,4.5,9,,0,,4/12/2022
4276,14.9,2.8,,5,57.4,,4/12/2022
3087,6.3,3.1,13,,0,,4/12/2022
3594,8.2,5.4,5,,0,,4/12/2022
3787,6.2,3.2,,5,21.2,,4/12/2022
3700,18.9,5.7,12,,23.9,,4/12/2022
3378,7.1,2.1,,4,11.1,,4/12/2022
3897,9.2,2.5,,5,23.2,,4/12/2022
3127,6.2,5.5,1,,0,,4/12/2022
3129,6,4.7,5,,0,,4/12/2022
4185,12.1,4.5,20,,13.6,,4/12/2022
3946,12.1,2.9,,5,30.7,,4/12/2022
4282,8.7,2.7,,5,22.7,,4/12/2022
4132,10,3.7,10,,0,,4/12/2022
3506,10.4,3.9,19,,14.4,,4/12/2022
4099,8.4,3.2,8,,0,,4/12/2022
4283,5.6,2.9,,5,21.1,,4/12/2022
3266,7,2,,4,12,,4/12/2022
4413,10.2,3.2,,4,32.7,,4/12/2022
3530,11.1,3.4,25,,17.6,,4/12/2022
4284,8.1,2.4,,5,29.6,,4/12/2022
3603,8.4,5.2,19,,12.9,,4/12/2022
3504,17.3,4.5,15,,20.3,,4/12/2022
4005,12.9,3.9,7,,13.4,,4/12/2022
3197,28.9,4.8,14,,0,,4/12/2022
4044,16.5,6.5,10,,0,,4/12/2022
3252,8.1,2.2,,5,15.6,,4/12/2022
3738,8.6,2.2,,5,21.1,,4/12/2022
3535,8.5,3.5,13,,0,,4/12/2022
4212,7.5,2.7,,4,11.5,,4/20/2022
4145,15.4,3.8,13,,0,,4/20/2022
3189,9.6,3.8,9,,0,,4/20/2022
3565,15.8,3.9,13,,9.5,,4/20/2022
3745,7.1,2.8,,4,16,,4/20/2022
3756,7,2.8,,5,14,,4/20/2022
3901,6.5,2.1,,3,6,,4/20/2022
4277,7.5,2.2,,4,7,,4/20/2022
4326,5.5,1.7,,5,11,,4/20/2022
4032,11.9,6.2,12,,9,,4/20/2022
4391,9.2,2.2,,5,16.5,,4/20/2022
4341,9.8,2.6,,5,26.5,,4/20/2022
3369,4.4,2.1,,1,2,,4/20/2022
3740,7.3,2.4,,2,1,,4/20/2022
3858,9.4,2.4,,5,15,,4/20/2022
3832,10.1,2.6,,5,26.5,,4/20/2022
3043,6.4,4,13,,0,,4/20/2022
3688,5.8,3.8,6,,0,,4/20/2022
3737,6.7,2,,3,4.5,,4/20/2022
4122,14.2,3.9,9,,0,,4/20/2022
4241,6.4,2.2,,3,4,,4/20/2022
4362,6,2.4,,3,5,,4/20/2022
3617,9.6,6,5,,0,,4/20/2022
3592,14.2,7.9,24,,9,,4/20/2022
4327,7.8,2.2,,5,17,,4/20/2022
3255,6.1,2.4,,2,4,,4/20/2022
3953,7.4,2.5,,5,2.4,,4/20/2022
4369,6.2,2.6,,5,22,,4/20/2022
3279,3.8,1.8,,1,1.5,,4/20/2022
3281,5.2,1.9,,1,0.5,,4/20/2022
3645,9.9,3.4,12,,1,,4/13/2022
3186,10,5,8,,3,,4/13/2022
4251,7.8,2.5,,5,8.5,,4/13/2022
3241,4.3,2.2,,1,1,,4/13/2022
4265,10.9,2.6,,5,12.5,,4/13/2022
3650,7.9,3.3,13,,0,,4/13/2022
4424,4.8,1.9,,1,1,,4/13/2022
3998,7.4,6,20,,5.5,,4/13/2022
3044,6.4,4.3,3,,1,,4/13/2022
3045,9.07,6.6,6,,0,,4/13/2022
4015,4.6,4.3,5,,0,,4/13/2022
3581,10.8,4,15,,0,,4/13/2022
3398,4.7,1.6,,1,0.5,,4/13/2022
3412,6.4,2.5,,1,1,,4/13/2022
4097,8.5,4,25,,10,,4/13/2022
3529,14.5,7.1,20,,0,,4/13/2022
3117,5.8,7.6,8,,0,,4/13/2022
3102,10.4,3.8,9,,0,,4/13/2022
3826,6.9,1.9,,4,10.5,,4/13/2022
3557,8.7,2.8,12,,6.5,,4/13/2022
4345,7.8,2.7,,5,14.5,,4/13/2022
3957,8.3,2.4,,5,13,,4/13/2022
3845,8.2,3.1,,5,17.5,,4/13/2022
3484,10.5,6.3,14,,1,,4/13/2022
4403,8.2,2.8,,4,16,,4/13/2022
3591,12.3,3.3,8,,0,,4/13/2022
3379,4.5,2.1,,1,0,,4/13/2022
3358,5.1,2,,1,1.5,,4/13/2022
4075,7.1,6.8,11,,0,,4/13/2022
4069,3.8,6.1,8,,0,,4/13/2022
4136,13.6,4.2,20,,5,,4/13/2022
3755,10.9,3.4,,5,14.5,,4/13/2022
3987,11.3,3.5,9,,0,,4/13/2022
3056,5.6,3.7,8,,0,,4/13/2022
3893,6.4,2.8,,4,20.5,,4/13/2022
3556,10.4,5.1,12,,0,,4/13/2022
3859,9.7,2.1,,5,12,,4/13/2022
4046,8.1,3.2,12,,2,,4/13/2022
3096,5.8,2.5,8,,0,,4/13/2022
3573,12.5,3.4,8,,3,,4/13/2022
3339,5.7,2.2,,4,3,,4/13/2022
3898,7.9,2.4,,4,11,,4/13/2022
3795,13.6,2.8,,5,10,,4/13/2022
4274,9.8,2.2,,3,8,,4/13/2022
4237,10.4,2.8,,5,15,,4/13/2022
4175,9.8,6.4,20,,4,,4/13/2022
3612,14.1,6.5,27,,12.5,,4/13/2022
3827,12.5,3.1,,5,23,,4/13/2022
3764,7.8,1.9,,4,8,,4/13/2022
3382,3.6,1.5,,3,5,,4/13/2022
3643,8.2,2.8,5,,0,,4/13/2022
3646,10.7,4.9,18,,9.5,,4/13/2022
3708,15.9,4.9,13,,0.5,,4/13/2022
3709,10.5,4.1,15,,0,,4/13/2022
3771,6.5,2.7,,1,4,,4/13/2022
3697,17,7,9,,0,,4/13/2022
3900,7.3,2.1,,5,12.5,,4/13/2022
3434,7.9,2,,4,9.5,,4/13/2022
3873,9.3,2.4,,5,17.5,,4/13/2022
3475,5.5,1.8,,1,1.5,,4/13/2022
3167,17.9,5.3,12,,0,,4/12/2022
3533,9.4,3.3,10,,0,,4/12/2022
3994,19.6,4.6,17,,23.6,,4/12/2022
3035,6.4,3,15,,8.4,,4/12/2022
3718,10.6,5,9,,16.1,,4/12/2022
4390,8.4,2.3,,5,21.4,,4/12/2022
3805,7.8,3.4,,4,16.2,,4/12/2022
4031,8.5,3.5,6,,0,,4/12/2022
4071,14.2,3.7,15,,0,,4/12/2022
3509,9.5,3.7,14,,12,,4/12/2022
3125,4.6,6,4,,0,,4/12/2022
3616,10.3,4.6,14,,19.3,,4/12/2022
3840,11.3,3.1,,5,38.3,,4/12/2022
3783,9.9,2.7,,5,20.4,,4/12/2022
4309,6.9,1.5,,4,17.9,,4/12/2022
3554,9.7,3.6,22,,15.2,,4/12/2022
3018,5.6,4.4,5,,0,,4/12/2022
4144,10.4,5.1,18,,14.4,,4/12/2022
3861,7.2,2.4,,4,15.2,,4/12/2022
3662,20,6.3,15,,22.5,,4/12/2022
3655,10.9,5.5,8,,0,,4/12/2022
3833,10.7,2.6,,5,23.7,,4/12/2022
3278,6.6,1.6,,4,10.1,,4/12/2022
3414,4.3,2.1,,1,0,,4/12/2022
4336,4.8,2.8,,2,7.8,,4/12/2022
4332,9.2,2.8,,4,33.2,,4/12/2022
4066,12.1,3.9,30,,25.1,,4/12/2022
3007,7.2,3.9,19,,10.2,,4/12/2022
4139,7.4,3.9,10,,8.4,,4/12/2022
3251,4.3,1.7,,2,0,,4/12/2022
3872,7.1,2.4,,5,15,,4/12/2022
3269,4,2,,1,0,,4/12/2022
3270,5.8,2.7,,1,0,,4/12/2022
3589,11.3,3.5,14,,2,,4/12/2022
4140,12.7,4.3,6,,2,,4/12/2022
4157,7.7,4.9,8,,4,,4/12/2022
4004,18.9,4.1,12,,2,,4/12/2022
3880,7.4,2.8,,4,15,,4/12/2022
4127,22.4,7.7,34,,15,,4/12/2022
4019,12.5,3.8,12,,0,,4/12/2022
4330,8.7,2.4,,5,18,,4/12/2022
3613,14.7,3.7,13,,0,,4/12/2022
3558,13,3.7,8,,4,,4/12/2022
3597,12.2,5.7,20,,16,,4/12/2022
4386,10.1,2.5,,5,20,,4/12/2022
4415,8.5,2.3,,5,22,,4/12/2022
4328,6,0.9,,4,8,,4/12/2022
3055,12.7,6.9,10,,5,,4/12/2022
3076,6,4.4,6,,0,,4/12/2022
3051,7.7,4.1,7,,0,,4/12/2022
3486,12.5,3.3,19,,3,,4/12/2022
3264,9.4,1.5,,4,6,,4/12/2022
4262,6.8,2.7,,5,17,,4/12/2022
3331,,,,,,dead,4/12/2022
3334,,,,,,dead,4/12/2022
3890,8.7,2.5,,5,15,,4/12/2022
4315,8.3,2.2,,5,24,,4/12/2022
3188,7,3.7,11,,0,,4/12/2022
4034,13.5,4.6,14,,2,,4/12/2022
3789,8.2,2.6,,5,13,,4/12/2022
3769,11.1,2.3,,5,25,,4/12/2022
3440,5.8,2.7,,3,9,,4/12/2022
3854,11.4,2.7,,5,9,,4/12/2022
3583,5.7,3.8,9,,0,,4/12/2022
4343,6.6,2,,2,0,,4/12/2022
4081,10,4.4,13,,0,,4/12/2022
3543,7.1,3.3,16,,1,,4/12/2022
3337,7.7,2.1,,5,6,,4/12/2022
4289,5.5,2.8,,5,11,,4/12/2022
3517,7.7,3.7,8,,0,,4/12/2022
4323,13.1,2.5,,5,16,,4/12/2022
3524,6.5,2.3,23,,6.5,,4/12/2022
4018,6.9,3.3,14,,0,,4/12/2022
3566,12.3,3.7,27,,6.5,,4/12/2022
4404,7.6,3,,4,7,,4/12/2022
3521,12.7,4.9,16,,0,,4/12/2022
4258,8.3,2.8,,5,13,,4/12/2022
3821,5.6,2.5,,2,2,,4/12/2022
4109,7.8,4.4,12,,0,,4/12/2022
4085,10.3,6.2,15,,18,,4/12/2022
3139,5.8,3.1,6,,0,,4/12/2022
3518,19.2,4.8,9,,0,,4/12/2022
3113,6.3,5.9,4,,0,,4/12/2022
4027,5.7,1.2,11,,0,,4/12/2022
3580,5.6,5.2,6,,0,,4/12/2022
4344,4.5,2.4,,2,4,,4/12/2022
3265,4.3,2,,1,0,,4/12/2022
4370,11.4,2.6,,5,23.5,,4/12/2022
4067,9.9,4.2,22,,9,,4/12/2022
3271,3.7,1.7,,1,1,,4/12/2022
4268,5.9,2.1,,4,16,,4/12/2022
4240,6.6,2.1,,4,3.5,,4/20/2022
3722,6.2,2.4,,4,6.5,,4/20/2022
3582,9.9,6,9,,0,,4/20/2022
4416,5.3,2.4,,5,13,,4/20/2022
4020,7.5,3.2,15,,3.5,,4/20/2022
3158,12.3,5.2,14,,2.5,,4/20/2022
4167,8.1,2.8,12,,1.5,,4/20/2022
4196,7.2,3.6,13,,0,,4/20/2022
3766,7.7,2.3,,5,12,,4/20/2022
3731,7.5,3,,5,15.5,,4/20/2022
3735,7.3,2.7,,5,11,,4/20/2022
3748,5.7,2.5,,5,10,,4/20/2022
3757,9.2,2.6,,4,5.5,,4/20/2022
4271,8.1,2.2,,4,8,,4/20/2022
4091,6,3.6,7,,0,,4/20/2022
3488,5.6,3.5,7,,0,,4/20/2022
3425,4.7,2.3,,1,4.5,,4/20/2022
3852,7.6,3.2,,5,15.5,,4/20/2022
4010,5.9,4.6,7,,2,,4/20/2022
3622,13.3,5.4,6,,0,,4/20/2022
3525,6.5,3.3,6,,1,,4/20/2022
3048,5.2,3.7,8,,0,,4/20/2022
3541,7.2,3.8,10,,0,,4/20/2022
3879,4.2,2.5,,2,5.5,,4/20/2022
3781,9.5,3.8,,5,32,,4/20/2022
4325,9.8,3,,5,25,,4/20/2022
3361,6,2.4,,3,5.5,,4/20/2022
4436,7.1,2.8,,3,12,,4/20/2022
3323,6.8,2.3,,4,1.5,,4/20/2022
4373,7.5,2.3,,5,8,,4/20/2022
4249,4.4,2.3,,1,1.5,,4/20/2022
3497,7.5,4.1,9,,0,,4/20/2022
3474,,,,,,dead,4/20/2022
