seedling ID,height cm,diameter mm,leaf count ,chlorosis,notes
4123,6.9,4.6,7,,
3616,10.4,3.91,19,,
3840,9.5,4.54,,5,
3833,7.1,3.38,,5,
3278,3.9,2.52,,2,
3550,9.5,4.41,19,,
3181,11.6,4.7,7,,
3562,7.8,2.78,22,,
3570,12.6,4.15,41,,
4209,4,2.71,10,,
4086,10.2,4.52,,4,
3771,6.5,3.51,,3,
3697,16.4,4.64,9,,
3268,3,1.82,,2,
3386,3.8,2.8,,1,
3709,10,4.52,16,,
3708,14.4,4.55,11,,
4242,7,3.17,,4,
3803,7,2.66,,4,
4325,6.6,3.74,,5,
3781,6.8,3.53,,5,
3992,6.6,3.95,16,,
4008,6.5,3.31,11,,
3704,6.8,4.76,16,,
4170,4.6,3.09,10,,
3044,6.4,2.78,4,,
3045,9.3,3.41,6,,
3554,8.6,3.72,14,,
3018,5.5,3.68,7,,
3991,8.8,3.64,22,,
4256,4.5,2.9,,3,
4230,7.8,2.49,,4,
3701,13.2,5.15,14,,
3776,3.8,2.28,,2,
3273,4.4,1.9,,1,
3197,29.5,4.49,15,,
4044,16,4.58,10,,
3932,4,2.99,,4,
3569,12,4.59,16,,
3011,10,4.99,9,,
3027,8.1,4.2,12,,
4237,6,2.74,,5,
4175,8.9,5.07,22,,
3764,5.7,2.47,,4,
3382,2.6,1.95,,2,
4408,4.9,2.47,,5,
4322,4.5,2.32,,4,
4265,6.9,2.85,,3,
3650,6.5,2.57,8,,
4332,6.7,2.62,,2,
4066,9.4,4.12,22,,
3974,9.9,4.28,8,,
3001,6.5,3.3,10,,
3077,5.2,4.09,9,,
3611,9.3,3.35,12,,
4096,9.5,2.71,7,,
3109,3,4.36,3,,
3488,4.5,3.67,6,,
4091,5.9,3.78,8,,
4031,8,3.07,8,,
4071,13.1,4.46,15,,
3385,5.3,2.81,,2,
3793,6.5,3.05,,3,
3780,7.5,2.85,,4,
3502,8.6,5.25,11,,
3646,9.4,3.93,10,,
3643,7.7,2.48,5,,
3048,5.8,4.07,8,,
3525,6.6,3.2,5,,
3183,11.3,3.73,15,,
3574,9.9,4,7,,
3191,5.4,4.03,4,,
3151,10.5,5.69,19,,
3795,7,2.96,,4,
4274,4.1,3.05,,3,
3827,7.6,3.11,,5,
3612,12.5,5.62,15,,
3918,4.6,3.51,,4,
3539,8.4,4.51,9,,
4036,6.5,3.58,11,,
3536,10.6,4.15,16,,
4429,4,2.97,,4,
3615,11.3,3.57,10,,
3593,8.8,4.32,11,,
3006,6.4,6.44,6,,
4268,3.7,2.76,,5,
3271,2.8,1.95,,1,
3645,9,3.9,14,,
3186,9.8,4.48,10,,
3592,13.3,3.39,15,,
3617,8.8,5.16,6,,
3821,4,2.46,,3,
4109,6.9,4.66,11,5,
4205,6,2.45,,4,
3828,5.8,3.14,10,,
3541,7,3.2,,3,
3879,4.4,2.45,8,,
3042,5,3.61,16,,
4017,8.4,5.31,10,,
4085,9.5,5.69,6,,
3139,4.6,3.41,11,,
3543,6.2,3.01,13,,
4081,10,3.88,,5,
4404,5.4,3.16,25,,
3566,12,5.03,,4,
3838,7.2,3.36,,5,
3839,7,3.31,,5,
3787,4.1,2.45,10,,
3700,18,4.64,,,
4402,4,2.15,,4,
3522,20.4,4.43,12,,
3796,4.5,2.28,,5,
3683,14.5,5.03,8,,
4144,10,5,18,,
3861,4.3,2.83,,4,
4233,6.6,3.02,,3,
3244,3.4,2.13,,4,
4235,4.5,2.24,,4,
4054,11.5,3.55,12,,
3589,12.9,4.87,3,,
4140,10,4.59,14,,
4004,18.2,3.88,6,,
4157,5.6,4.94,7,,
3826,4,2.26,,3,
3557,6.9,2.64,9,,
4312,5,2.44,,4,
3553,4.6,2.65,8,,
3483,6.5,2.7,4,,
4061,9.6,3.98,10,,
3752,6.1,2.58,,4,
3739,3.8,1.8,,3,
4362,4.8,2.16,,4,
4241,4.8,2.51,,3,
3129,5.5,4.68,7,,
3127,5.6,4.09,6,,
4283,4.6,3.57,,3,
3266,3.9,2.17,,1,
3243,3.5,2.07,,1,
3242,3.6,1.81,,2,
4260,5.5,2.08,,4,
3494,7.5,2.19,8,,
4158,5,3.28,5,,
3482,5.2,2.95,6,,
3102,9.8,4.1,9,,
3117,5.5,5.35,10,,
3957,4.5,2.27,,4,
4345,3.9,2.93,,4,
4097,6.3,3.77,10,,
3529,10.7,4.51,16,,
4001,10.5,4.34,16,,
3855,7,3.71,,3,
3812,3.7,2.18,,3,
3513,6.4,2.15,14,,
4240,4.9,2.25,,5,
3722,5.2,2.44,,4,
3744,4.6,2.26,,3,
4371,5.3,3.78,,3,
3506,9.8,4.73,22,,
4099,7.9,4.89,7,,
3756,6,2.25,,4,
3745,4.6,2.84,,3,
3883,5,2.79,,4,
3381,4.4,2.55,,1,
3524,5.7,2.22,12,,
4018,6.3,3.73,10,,
3885,5.4,2.75,,4,
4316,6.7,3.48,,5,
4100,7.4,4.39,4,,
3732,6,3.51,,2,
4369,5.9,3.61,,3,
3953,4.5,3.05,,4,
4276,10.1,2.51,,5,
3508,10.1,4.71,11,,
3255,4.6,2.47,,1,
4327,5.5,2.36,,4,
3844,6.4,3.45,,5,
3542,8.2,3.58,10,,
3603,8,5.25,13,,
4284,6,2.89,,3,
4324,6.9,1.97,,1,
3276,4,1.98,,5,
4014,5.1,3.51,9,,
3000,19,5.1,7,,
3118,9.3,4.14,9,,
3136,7.4,4.22,4,,
3662,19.2,5.71,12,,
3655,10.2,4.49,8,,
4333,6.4,2.16,,3,
3775,4.3,2.4,,2,
3955,4,2.46,,4,
4028,8.8,3.9,13,,
3260,4.5,2.16,,1,
4400,4.5,2.32,,3,
4426,5.3,3.12,,5,
3665,10.5,4,18,,
3967,5.4,3.9,8,,
3693,8,4.32,9,,
3799,6.7,2.55,,5,
3679,5.4,3.06,5,,
3270,5.4,2.75,,1,
3269,4,1.89,,1,
3785,5.3,2.55,,5,
3777,5.1,2.36,,5,
4000,6.1,4.25,10,,
3559,7.5,3.21,11,,
3872,5.5,2.3,,4,
3251,3.9,2.29,,2,
3734,5,2.72,,5,
4335,3.3,2.16,,5,
3936,3,2.27,,4,
3964,6.6,3.23,9,,
4021,8.5,4.33,6,,
3590,9.4,3.01,11,,
3473,3.4,2.22,,2,
3773,3.5,1.64,,4,
4139,7.1,4.1,2,,
3007,6.5,4.01,17,,
4243,3.8,2.6,,2,
3836,5.1,3.32,,4,
3653,11,4.23,14,,
4098,5.6,3.53,9,,
3412,4.9,2.2,,1,
3398,3.2,2.13,,1,
3600,9,5.36,18,,
3046,11.9,4.43,9,,
3335,4.5,2,,1,
3905,5.6,2.86,,4,
3245,3.5,2.19,,2,
3933,3.6,2.71,,4,
4279,5.1,2.06,,2,
3728,7,2.9,,3,
4285,4.9,2.68,,4,
3284,4.7,2.38,,2,
4160,5.3,3.4,16,,
3973,6.5,5.44,10,,
4386,7.5,3.03,,4,
3597,9.5,5.57,20,,
3837,4.7,2.27,,3,
3587,19.9,3.97,3,,
3824,4.4,2.15,,5,
4134,20.8,5.24,12,,
3695,9.6,3.48,9,,
3714,10,3.62,9,,
4278,4.3,2.8,,4,
3798,5.8,2.92,,4,
4405,5.8,2.68,,4,
4318,7.1,2.96,,5,
3605,9.8,3.89,14,,
4037,4.5,3.86,13,,
3141,18.3,4.76,5,,
3601,9.7,3.68,14,,
4075,6.6,4.31,10,,
4069,4.7,6.67,8,,
4083,6.9,6.22,5,,
3110,9,3.38,13,,
4407,3.7,2.29,,3,
3383,3.8,1.87,,4,
4415,5.5,2.87,,5,
4328,4.1,1.56,,3,
4038,7,3.66,9,,
3547,4.9,1.57,4,,
3965,10,4.6,11,,
3774,5,2.45,,5,
3008,8.2,5.24,11,,
4195,10.5,3.75,22,,
4162,8.1,4.28,10,,
4320,4.3,2.53,,4,
4079,13.5,4.96,17,,
4280,7.4,3.16,,5,
4255,3.9,2.15,,3,
3584,11,4.71,11,,
3114,5.5,4.72,8,,
4159,4.8,2.84,3,,
3552,10.6,3.67,16,,
4070,5.9,2.81,5,,
3982,9,5.19,9,,
3772,6.3,2.83,,5,
3188,7.2,3.76,10,,
4034,13.6,4.64,10,,
3135,4.7,4.48,12,,
3132,12,2.4,13,,
3876,5,2.31,,4,
3586,24.4,4.98,11,,
3963,4.7,3.14,0,,dead?
3696,20.9,5.21,9,,
3789,5.1,3.18,,5,
3779,5.2,2.79,,5,
4236,4,2.48,,0,dead
4302,8.8,3,,5,
4315,5.5,2.59,,3,
3890,4.6,2.51,,4,
3532,11.8,3.55,14,,
4228,4.8,2.68,,3,
3810,5,2.6,,2,
3630,7,3.39,6,,
4262,4.4,2.61,,4,
3264,5.9,1.94,,3,
3867,3,0.95,,0,dead
3715,7,4.65,6,,
4293,4.2,2.24,,3,
3272,5.5,1.49,,2,
3544,6,3.9,17,,
4024,2.6,3.12,4,,
4025,11.1,3.51,2,,
4033,5.3,4.41,9,,
3012,8.3,2.4,4,,
4165,5.8,4.16,5,,
4334,5.6,2.71,,5,
3680,6.2,4.66,9,,
3916,5.9,2.3,,5,
4238,5,2.55,,5,
3058,5.4,2.73,5,,
4148,8.2,4.6,11,,
4147,5,6.3,12,,
4151,5.4,3.8,10,,
3043,4.9,3.4,10,,
3688,3.1,4.19,4,,
3035,4.6,3.49,9,,
3718,9.4,3.86,10,,
4082,7.1,3.32,10,,
3769,5.4,3.39,,5,
3281,3.3,1.89,,1,
3279,3.9,2.07,,1,
4290,4.8,2.22,,5,
4291,4.4,2,,4,
4030,5.5,4.98,9,,
4149,8.4,4.62,11,,
3711,23.5,5.74,8,,
4246,5.5,2.63,4,,
4088,4.5,3.82,8,,
3684,14.8,6.19,13,,
4281,9.2,2.71,,5,
3390,6.3,2.46,,5,
3140,3.9,3.22,5,,
3620,12.5,3.93,11,,
3594,7,4.57,8,,
3087,5.4,2.98,9,,
4166,12.5,4.2,10,,
4229,4.3,1.67,,0,dead
3915,5.2,3.1,,4,
3958,5,2.67,,5,
3481,5.3,2.83,5,,
3038,6.3,4.5,12,,
3356,3.1,2.15,,3,
3813,4.3,1.82,,4,
3364,5.4,2.64,,4,
4435,2.6,1.91,,3,
3760,4.9,1.91,,5,
4026,5,2.26,6,,
3943,4,2.86,,2,
4192,3.8,3.6,5,,
4317,7.5,2.65,,5,
3638,8.2,4.54,8,,
4319,5.1,2.32,,5,
3495,6.5,4.53,9,,
4213,7.4,3.28,,5,
4187,6.3,4.3,11,,
3002,5.7,4.97,6,,
3005,7,3.55,7,,
4005,10.4,4.5,7,,
3504,17.2,4.68,8,,
4341,6.9,2.81,,5,
4391,5.1,2.63,,4,
4390,5,2.29,,4,
3805,5,2.47,,4,
3126,4.4,3.98,4,,
3111,12,5.47,11,,
4183,11.5,4.01,15,,
3959,5.7,2.89,,2,
4167,6.9,2.75,17,,
4196,5.9,3.76,10,,
3013,10.5,3.96,8,,
3980,11.2,4.38,8,,
3778,5.5,2.59,,4,
4002,11.5,3.24,17,,
3509,8.9,4.17,7,,
3125,4.8,3.67,4,,
3033,7.2,4.07,6,,
4155,10,3.18,9,,
3275,4.5,2.21,,5,
3801,4.6,2.19,,5,
3274,4.4,2.03,,1,
3259,4.3,2.16,,1,
4261,3.4,2.32,,3,
3954,4.7,2.15,,2,
3782,5.7,3.24,,4,
3628,4.5,3.18,8,,
3946,7.6,3.1,,5,
4185,6.3,4.02,10,,
3985,11.8,3.96,12,,
4269,5.1,2.88,,5,
4266,6,2.71,,4,
4398,7.5,3.16,,5,
3392,3,2.26,,1,
3400,3.8,2.01,,1,
3112,7.2,4.82,9,,
3993,8.8,4.52,14,,
4163,20,5.15,12,,
3937,3.6,2.04,,4,
3921,5.2,2.57,,5,
3972,6,4.14,13,,
4417,4.5,2.49,,4,
3986,5.4,4.62,14,,
3977,5.3,3.07,10,,
4176,8.4,3.51,8,,
3705,9.9,2.65,9,,
3806,6.9,3.29,,5,
4368,4.4,2.26,,5,
4384,4.6,2.31,,4,
4007,10.5,4.42,18,,
3995,5,3.83,7,,
3913,4.7,2.53,,5,
3970,8.8,4.24,8,,
4388,5,2.58,,3,
4392,4.2,2.97,,5,
4136,10.3,5,9,,
3755,5.5,3.33,,4,
3096,5.5,2.87,8,,
3573,10.9,3.78,9,,
3850,3.3,2.54,,2,
4133,11,4.94,14,,
3237,7.5,3.12,9,,
4124,7,3.98,11,,
3338,5.4,2.54,,3,
3825,4.8,3.51,,2,
3055,11.3,4.09,10,,
3076,6,4,7,,
4373,3.1,2.05,,4,
3323,3.8,1.6,,2,
3622,11.7,5.22,7,,
4010,5.2,3.85,9,,
4370,7,2.71,,5,
4067,8.5,4.24,16,,
4412,4.5,2.54,,5,
3426,2.5,2.02,,2,
4254,4.2,2.27,,4,
3725,4.3,2.38,,4,
3614,13,3.33,11,,
4367,4,2.05,,3,
3240,6.5,3.69,7,,
3067,9.2,3.86,22,,
4422,5.4,3.04,,4,
3172,4.8,3.5,10,,
3349,3.9,2.24,,2,
3891,3.5,2.28,,5,
3577,5.9,4.16,7,,
3767,5.5,2.74,,3,
4032,12,2.09,18,,
4326,4,6.3,,5,
4013,8.8,3.66,8,,
3856,5.1,3.05,,4,
3987,8.4,4.87,12,,
3056,5.3,3.7,8,,
3324,3,1.59,,1,
3908,3.9,2.2,,4,
3051,7,4.95,7,,
3486,8.4,3.91,15,,
4135,7.9,2.56,11,,
3095,8,5.27,6,,
4222,4.3,2.49,,5,
3808,3.5,2.25,,4,
3877,5.8,3.1,,5,
4363,1.3,0.89,,1,dead
3847,3.1,2.12,,4,
4361,3.4,2.31,,4,
3551,8.9,3.77,5,,
3052,5,3.33,15,,
3621,5.8,2.72,12,,
3619,7.4,3.53,9,,
4378,4,2.18,,4,
4089,5.1,2.98,8,,
3858,5.7,3.07,,4,
3832,5.6,2.94,,4,updated id
4416,3.3,2.44,,4,
3582,9,4.6,8,,
4286,4.9,2.43,,4,
3997,8.2,4.82,14,,
